"Market";"Distributor";"Release date";"2006";"2007";"2008";"2018";"Total since 2006"
"BE";"Belga Films (BE)";"29/03/2006";"158 038";"6 590";"";"139";"164 767"
"CH";"Monopole Pathé Films";"29/03/2006";"64 403";"";"";"";"64 403"
"ES";"Zeta Audiovisual";"05/06/2006";"125 150";"245";"46";"";"125 441"
"FR";"Gaumont Columbia TriStar";"29/03/2006";"3 082 689";"";"";"";"3 082 689"
"GR";"Odeon (GR)";"24/08/2006";"12 120";"";"";"";"12 120"
"HR";"Blitz Film & Video Distribution (HR)";"31/01/2008";"";"";"10 199";"";"10 199"
"HU";"Best Hollywood";"26/04/2007";"";"11 105";"";"";"11 105"
"IT";"Medusa Film";"12/05/2006";"205 309";"";"";"";"205 309"
"LU";"Belga Film (LU)";"31/03/2006";"7 589";"";"";"";"7 589"
"PL";"SPI Poland";"01/12/2006";"40 623";"5 311";"";"";"45 934"
"PT";"ZON Lusomundo Audiovisuais";"12/07/2007";"";"1 929";"570";"";"2 499"
"RO";"Glob-Com";"";"2 246";"527";"";"";"2 773"
"EUR EU";"";"";"3 633 764";"25 707";"10 815";"139";"3 670 425"
"EUR OBS";"";"";"3 698 167";"25 707";"10 815";"139";"3 734 828"
"US_CA";"Sony Classics (US)";"20/04/2007";"";"278 893";"";"";"278 893"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2008, 2007, 2006"
" - film_id : 25577"
