"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2011";"2012";"2013";"2014";"2015";"2009-2015";"Total since 2005"
"BE";"Alternative Films (BE)";"23/03/2005";"12 793";"279";"306";"";"";"";"";"";"";"";"";"13 378"
"CH";"Monopole Pathé Films";"02/02/2005";"14 494";"";"";"";"";"";"";"";"";"";"";"14 494"
"CZ";"SPI";"14/07/2005";"39 491";"5 237";"742";"360";"";"424";"11";"50";"";"";"485";"46 315"
"ES";"Aurum Producciones";"21/12/2005";"40 054";"160 692";"";"66";"";"";"";"";"";"20";"20";"200 832"
"FR";"Pathé Distribution (FR)";"02/02/2005";"904 141";"1 523";"";"";"";"";"";"";"";"";"";"905 664"
"GB";"Pathé Distribution (GB)";"11/02/2005";"1 273 412";"";"";"";"";"";"";"";"";"";"";"1 273 412"
"HU";"SPI Hungary";"13/10/2005";"16 922";"";"";"";"";"";"";"";"";"";"";"16 922"
"IS";"Myndform";"26/08/2005";"5 318";"";"";"";"";"";"";"";"";"";"";"5 318"
"LU";"Alternative Film (LU)";"23/03/2005";"1 059";"";"";"";"";"";"";"";"";"";"";"1 059"
"PL";"SPI Poland";"09/09/2005";"55 550";"2 688";"";"";"";"";"";"";"";"";"";"58 238"
"PT";"NOS Lusomundo Audiovisuais (PT)";"11/08/2005";"31 137";"1 028";"";"89";"284";"2";"";"";"204";"";"490";"32 744"
"SK";"Film Europe (SK)";"28/07/2005";"21 874";"4 550";"859";"2 180";"1 165";"";"87";"15";"3";"";"1 270";"30 733"
"EUR EU";"";"";"2 396 433";"175 997";"1 907";"2 695";"1 449";"426";"98";"65";"207";"20";"2 265";"2 579 297"
"EUR OBS";"";"";"2 416 245";"175 997";"1 907";"2 695";"1 449";"426";"98";"65";"207";"20";"2 265";"2 599 109"
"US_CA";"";"";"";"1 157 090";"";"";"";"";"";"";"";"";"";"1 157 090"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2013, 2012, 2011, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23758"
