"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2016-2020";"Total since 2012"
"AT";"Filmcasino & Polyfilm";"11/01/2013";"";"13 908";"300";"";"";"";"";"";"";"";"14 208"
"BE";"Lumiere Productie (BE)";"17/05/2012";"136 693";"2 784";"2 612";"296";"";"";"";"105";"26";"131";"142 516"
"CH";"JMH Distributions (CH)";"17/05/2012";"35 026";"277";"10";"";"";"";"";"36";"";"36";"35 349"
"CZ";"Falcon";"28/03/2013";"";"7 635";"246";"";"";"";"";"";"";"";"7 881"
"DE";"Wild Bunch (DE)";"10/01/2013";"";"191 366";"1 244";"756";"719";"135";"152";"49";"32";"1 087";"194 453"
"DK";"Grand Teatret A/S";"14/03/2013";"";"37 784";"302";"";"";"";"";"";"";"";"38 086"
"EE";"Acme (EE)";"01/12/2012";"556";"";"";"";"";"";"";"";"";"";"556"
"ES";"Vertigo Films (ES)";"14/12/2012";"44 003";"23 570";"89";"22";"";"";"";"35";"";"35";"67 719"
"FI";"Cinema Mondo";"16/11/2012";"10 034";"4 286";"";"";"";"";"";"";"";"";"14 320"
"FR";"UGC Distribution";"16/05/2012";"1 905 091";"";"";"";"";"";"";"";"";"";"1 905 091"
"GB";"StudioCanal (GB)";"02/11/2012";"129 211";"1 890";"";"";"";"";"";"";"";"";"131 101"
"GR";"Seven Films";"29/11/2012";"21 140";"7 807";"363";"26";"";"";"";"";"";"";"29 336"
"IE";"StudioCanal (IE)";"02/11/2012";"6 100";"";"";"";"";"";"";"";"";"";"6 100"
"IT";"Bim Distribuzione";"04/10/2012";"120 893";"19 729";"22";"50";"";"";"";"";"";"";"140 694"
"LU";"Lumiere Publishing (LU)";"17/05/2012";"3 767";"";"";"";"";"";"";"";"";"";"3 767"
"NL";"Lumiere Publishing (NL)";"14/06/2012";"74 815";"2 180";"104";"38";"";"";"";"23";"51";"74";"77 211"
"NO";"Arthaus (NO)";"11/01/2013";"642";"13 032";"";"";"61";"17";"";"";"";"78";"13 752"
"PT";"Leopardo Filmes";"14/03/2013";"";"10 518";"65";"113";"";"";"";"";"5";"5";"10 701"
"RU";"Walt Disney Studios Sony Pictures Releasing";"24/01/2013";"";"8 600";"";"";"";"";"";"";"";"";"8 600"
"SE";"TriArt Film";"21/12/2012";"13 199";"29 650";"7";"";"";"";"";"";"";"";"42 856"
"SI";"Continental Film (SI)";"07/11/2012";"882";"";"";"";"";"";"";"";"";"";"882"
"SK";"Itafilm";"07/03/2013";"";"4 513";"";"";"";"5";"";"";"";"5";"4 518"
"TR";"Pinema";"03/05/2013";"";"14 684";"";"";"";"";"";"";"";"";"14 684"
"EUR EU";"";"";"2 466 384";"357 620";"5 354";"1 301";"719";"140";"152";"212";"114";"1 337";"2 831 996"
"EUR OBS";"";"";"2 502 052";"394 213";"5 364";"1 301";"780";"157";"152";"248";"114";"1 451";"2 904 381"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 39135"
