"Market";"Distributor";"Release date";"2012";"2013";"2014";"2018";"Total since 2012"
"BE";"u-Dream Films";"14/03/2012";"145 790";"";"";"";"145 790"
"CH";"Frenetic Films (CH)";"14/03/2012";"26 674";"535";"41";"14";"27 264"
"DE";"StudioCanal (DE)";"13/12/2012";"610";"57";"21";"";"688"
"FR";"StudioCanal (FR)";"14/03/2012";"1 791 624";"";"";"";"1 791 624"
"GB";"StudioCanal (GB)";"22/06/2012";"1 538";"";"";"";"1 538"
"NL";"A-Film (NL)";"02/08/2012";"1 257";"31";"";"";"1 288"
"PT";"ZON Lusomundo Cinemas";"11/07/2013";"";"466";"";"";"466"
"EUR EU";"";"";"1 940 819";"554";"21";"";"1 941 394"
"EUR OBS";"";"";"1 967 493";"1 089";"62";"14";"1 968 658"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2014, 2013, 2012"
" - film_id : 39125"
