"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2014";"2015";"2014-2015";"Total since 2009"
"AT";"Filmladen";"25/06/2010";"";"29 677";"263";"";"";"";"";"29 940"
"BE";"Belga Films (BE)";"07/01/2009";"151 869";"";"";"";"";"";"";"151 869"
"BG";"Vadi Van Kris";"15/07/2011";"";"";"5 886";"";"";"";"";"5 886"
"CH";"Frenetic Films (CH)";"07/01/2009";"35 714";"127";"107";"";"92";"";"92";"36 040"
"DE";"Movienet Film";"28/01/2010";"";"48 976";"1 314";"159";"";"29";"29";"50 478"
"FR";"Mars Films (FR)";"07/01/2009";"1 792 382";"";"";"";"";"";"";"1 792 382"
"PL";"Kino Swiat";"02/07/2010";"";"114 429";"392";"";"";"";"";"114 821"
"EUR EU";"";"";"1 944 251";"193 082";"7 855";"159";"";"29";"29";"2 145 376"
"EUR OBS";"";"";"1 979 965";"193 209";"7 962";"159";"92";"29";"121";"2 181 416"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2012, 2011, 2010, 2009"
" - film_id : 31652"
