"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"BA";"Blitz Film & Video Distribution (BA)";"30/05/2019";"617";"";"617"
"BE";"Cineart (BE)";"17/04/2019";"57 331";"";"57 331"
"CH";"Agora Films";"01/05/2019";"33 315";"400";"33 715"
"ES";"A Contracorriente Films";"28/10/2019";"103 661";"";"103 661"
"FR";"Pathé Distribution (FR)";"01/05/2019";"2 800 004";"";"2 800 004"
"GR";"Odeon (GR)";"20/06/2019";"19 196";"";"19 196"
"HR";"Blitz Film & Video Distribution (HR)";"30/05/2019";"1 750";"";"1 750"
"HU";"Cirko Film";"11/07/2019";"10 807";"248";"11 055"
"IT";"Bim Distribuzione/M.I. (IT)";"12/09/2019";"21 278";"1 093";"22 371"
"LU";"Cineart (LU)";"01/05/2019";"3 264";"";"3 264"
"NL";"Cinéart Nederland";"06/06/2019";"18 103";"";"18 103"
"PT";"NOS Lusomundo Audiovisuais (PT)";"06/06/2019";"10 843";"";"10 843"
"RU";"Cascade Film (RU)";"29/08/2019";"16 804";"";"16 804"
"TR";"BS Dagitim (TR)";"16/08/2019";"4 472";"627";"5 099"
"EUR EU";"";"";"3 046 237";"1 341";"3 047 578"
"EUR OBS";"";"";"3 101 445";"2 368";"3 103 813"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 83235"
