"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2016"
"BE";"Alternative Films (BE)";"01/02/2017";"226 081";"154";"105";"";"226 340"
"CH";"Pathé Films (CH)";"01/02/2017";"75 501";"";"";"";"75 501"
"ES";"DeAPlaneta";"09/06/2017";"22 594";"";"";"";"22 594"
"FR";"Pathé Distribution (FR)";"01/02/2017";"4 570 887";"";"";"345";"4 571 232"
"GR";"Spentzos Film";"20/07/2017";"2 582";"";"";"";"2 582"
"HU";"ADS";"17/08/2017";"3 470";"";"";"";"3 470"
"LU";"Alternative Film (LU)";"01/02/2017";"7 653";"";"";"";"7 653"
"PL";"Mówi Serwis (PL)";"18/08/2017";"59 477";"";"";"";"59 477"
"PT";"Cinemundo (PT)";"29/06/2017";"1 497";"";"";"";"1 497"
"RO";"Cine Europa (RO)";"11/08/2017";"23 068";"55";"";"";"23 123"
"RU";"MF";"06/04/2017";"32 748";"";"";"";"32 748"
"TR";"Ozen Film";"10/08/2018";"";"562";"";"";"562"
"EUR EU";"";"";"4 917 309";"209";"105";"345";"4 917 968"
"EUR OBS";"";"";"5 025 558";"771";"105";"345";"5 026 779"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73283"
