"Market";"Distributor";"Release date";"2016";"2017";"2018";"Total since 2016"
"BA";"Blitz Film & Video Distribution (BA)";"09/06/2016";"390";"";"";"390"
"BE";"Santa Fe Productions (BE)";"06/04/2016";"99 031";"";"";"99 031"
"BG";"BS Films (BG)";"03/06/2016";"1 928";"";"";"1 928"
"CH";"JMH Distributions (CH)";"06/04/2016";"34 071";"";"";"34 071"
"CY";"FSF (CY)";"";"50";"";"";"50"
"CZ";"Bontonfilm";"19/05/2016";"19 022";"388";"";"19 410"
"ES";"A Contracorriente Films";"16/08/2016";"25 153";"65";"";"25 218"
"FR";"Gaumont Distribution";"";"2 200 452";"";"";"2 200 452"
"GR";"Odeon (GR)";"01/05/2016";"2 056";"";"";"2 056"
"HR";"Blitz Film & Video Distribution (HR)";"09/06/2016";"2 216";"";"";"2 216"
"HU";"Freeman Entertainment (HU)";"14/04/2016";"26 114";"";"";"26 114"
"LT";"Top Film Baltic (LT)";"20/05/2016";"310";"";"";"310"
"LU";"Santa Fe Productions (LU)";"06/04/2016";"3 861";"";"";"3 861"
"LV";"Top Film (LV)";"13/05/2016";"415";"";"";"415"
"PT";"Outsider Films";"22/09/2016";"2 817";"";"";"2 817"
"RU";"Luxor";"07/04/2016";"74 616";"";"375";"74 991"
"SK";"Bontonfilm (SK)";"05/05/2016";"7 072";"60";"30";"7 162"
"TR";"Ozen Film";"05/05/2017";"";"785";"";"785"
"EUR EU";"";"";"2 390 497";"513";"30";"2 391 040"
"EUR OBS";"";"";"2 499 574";"1 298";"405";"2 501 277"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016"
" - film_id : 68152"
