"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Constantin/Tobis (AT)";"10/07/2015";"20 345";"";"";"";"";"";"";"20 345"
"BE";"Alternative Films (BE)";"04/02/2015";"108 050";"468";"85";"";"";"";"";"108 603"
"CH";"Pathé Films (CH)";"04/02/2015";"23 818";"";"";"";"";"";"";"23 818"
"DE";"Splendid Film (DE)";"09/07/2015";"74 220";"1 908";"46";"";"100";"";"100";"76 274"
"EE";"Prior Entertainment (EE)";"28/08/2015";"2 505";"";"";"";"";"";"";"2 505"
"ES";"Vertigo Films (ES)";"04/12/2015";"27 275";"3 710";"92";"";"";"";"";"31 077"
"FR";"Pathé Distribution (FR)";"04/02/2015";"2 886 476";"";"";"";"";"";"";"2 886 476"
"GR";"Videorama";"30/07/2015";"24 891";"";"";"";"";"";"";"24 891"
"HU";"ADS";"02/07/2015";"6 565";"167";"";"";"";"";"";"6 732"
"LT";"Prior Entertainment (LT)";"14/08/2015";"590";"";"";"";"";"";"";"590"
"LU";"Alternative Film (LU)";"04/02/2015";"3 416";"";"";"";"";"55";"55";"3 471"
"LV";"Forum Cinemas (LV)";"21/08/2015";"1 834";"";"";"";"";"";"";"1 834"
"NL";"Imagine Film Distribution (NL)";"25/06/2015";"8 694";"";"";"";"";"";"";"8 694"
"PT";"Cinemundo (PT)";"02/04/2015";"11 604";"332";"";"";"";"";"";"11 936"
"RO";"Cine Europa (RO)";"20/11/2015";"1 124";"101";"16";"";"";"";"";"1 241"
"RU";"Exponenta";"30/07/2015";"46 112";"";"";"98";"";"";"";"46 210"
"EUR EU";"";"";"3 177 589";"6 686";"239";"";"100";"55";"155";"3 184 669"
"EUR OBS";"";"";"3 247 519";"6 686";"239";"98";"100";"55";"155";"3 254 697"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 58810"
