"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2019";"2014-2019";"Total since 2010"
"AT";"Filmladen";"17/12/2010";"8 135";"18 676";"150";"111";"";"";"";"";"";"";"27 072"
"BE";"Lumiere Publishing (BE)";"08/09/2010";"145 695";"23 746";"532";"";"";"";"";"";"";"";"169 973"
"CH";"Frenetic Films (CH)";"08/09/2010";"66 488";"31 078";"160";"105";"";"";"127";"";"";"127";"97 958"
"DE";"NFP Marketing & Distribution";"16/12/2010";"69 036";"205 598";"";"";"158";"251";"88";"132";"";"629";"275 263"
"DK";"Camera Film";"07/04/2011";"";"10 277";"520";"235";"";"";"";"";"";"";"11 032"
"EE";"MTÜ Otaku (EE)";"20/05/2011";"";"872";"197";"";"";"";"";"";"";"";"1 069"
"ES";"Golem Distribucion";"13/01/2011";"833";"246 980";"";"358";"145";"";"";"";"";"145";"248 316"
"FI";"Cinema Mondo";"07/01/2011";"";"12 279";"";"";"33";"";"";"";"";"33";"12 312"
"FR";"Mars Films (FR)";"08/09/2010";"3 082 754";"220 321";"";"";"";"";"";"";"";"";"3 303 075"
"GB";"Artificial Eye";"03/12/2010";"61 700";"53 046";"";"";"";"";"";"";"";"";"114 746"
"GR";"Seven Films";"18/11/2010";"5 377";"1 406";"280";"127";"";"";"";"";"";"";"7 190"
"HR";"Continental Film (HR)";"10/03/2011";"";"3 049";"";"";"";"";"";"";"";"";"3 049"
"HU";"Cirko Film";"27/01/2011";"";"9 214";"";"";"24";"";"54";"430";"";"508";"9 722"
"IE";"Artificial Eye Film Company (IE)";"03/12/2010";"5 346";"13 896";"";"";"";"";"";"";"";"";"19 242"
"IT";"Lucky Red";"22/10/2010";"240 000";"85 000";"5 000";"710";"21";"55";"58";"";"65";"199";"330 909"
"LT";"Garsas";"09/12/2011";"";"297";"96";"49";"";"";"";"";"";"";"442"
"LU";"Lumiere Publishing (LU)";"08/09/2010";"5 488";"229";"";"";"";"";"";"";"";"";"5 717"
"NL";"Lumiere Publishing (NL)";"18/11/2010";"35 033";"30 548";"529";"60";"";"";"";"";"51";"51";"66 221"
"NO";"Arthaus (NO)";"25/12/2010";"5 397";"26 309";"16";"";"";"";"";"12";"";"12";"31 734"
"PL";"Gutek Film/Best Film";"28/01/2011";"";"107 328";"1 157";"148";"";"";"";"";"";"";"108 633"
"PT";"NOS Lusomundo Audiovisuais (PT)";"11/11/2010";"15 312";"5 197";"";"";"53";"";"";"";"";"53";"20 562"
"RO";"IF-Independenta Film";"04/03/2011";"";"2 461";"49";"";"";"";"123";"";"";"123";"2 633"
"SE";"Nonstop Entertainment";"14/01/2011";"89";"36 511";"162";"13";"11";"18";"";"";"";"29";"36 804"
"SI";"Continental Film (SI)";"10/11/2010";"1 013";"2 531";"";"";"";"";"";"";"";"";"3 544"
"SK";"TatraFilm/Bontonfilm";"01/03/2012";"";"";"13 595";"";"";"";"";"";"";"";"13 595"
"TR";"Tiglon";"01/07/2011";"";"2 636";"356";"";"";"";"";"";"";"";"2 992"
"EUR EU";"";"";"3 675 811";"1 089 462";"22 267";"1 811";"445";"324";"323";"562";"116";"1 770";"4 791 121"
"EUR OBS";"";"";"3 747 696";"1 149 485";"22 799";"1 916";"445";"324";"450";"574";"116";"1 909";"4 923 805"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 35029"
