"Market";"Distributor";"Release date";"2018";"2019";"Total since 2018"
"BE";"Alternative Films (BE)";"31/01/2018";"320 541";"101";"320 642"
"CH";"Pathé Films (CH)";"31/01/2018";"43 923";"";"43 923"
"FR";"Pathé Distribution (FR)";"31/01/2018";"5 687 100";"";"5 687 100"
"LU";"Alternative Film (LU)";"31/01/2018";"7 149";"";"7 149"
"EUR EU";"";"";"6 014 790";"101";"6 014 891"
"EUR OBS";"";"";"6 058 713";"101";"6 058 814"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018"
" - film_id : 79916"
