"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2011"
"AT";"Senator Film (AT)";"05/01/2012";"";"725 954";"";"";"";"";"";"";"";"";"";"725 954"
"BE";"Victory Productions (BE)";"02/11/2011";"576 071";"";"";"";"";"1 187";"235";"";"";"";"1 422";"577 493"
"BG";"Forum Film (BG)";"11/05/2012";"";"10 890";"";"";"";"";"";"";"";"";"";"10 890"
"CH";"Frenetic Films (CH)";"02/11/2011";"344 013";"1 032 283";"1 455";"284";"61";"149";"127";"242";"149";"44";"772";"1 378 807"
"CZ";"35 mm";"07/06/2012";"";"78 453";"7 128";"1 928";"229";"";"";"";"";"";"229";"87 738"
"DE";"Senator Film Verleih";"05/01/2012";"";"9 275 194";"237 924";"21 995";"6 133";"5 884";"2 544";"2 532";"1 873";"6 333";"25 299";"9 560 412"
"DK";"Scanbox Entertainment (DK)";"22/11/2012";"";"319 200";"355 744";"";"";"";"";"";"";"";"";"674 944"
"EE";"Cascade Film (EE)";"25/05/2012";"";"38 924";"";"";"";"";"";"";"";"";"";"38 924"
"ES";"A Contracorriente Films";"22/11/2011";"";"2 580 856";"1 109";"295";"507";"33";"72";"98";"302";"";"1 012";"2 583 272"
"FI";"Scanbox Finland";"30/11/2012";"";"36 511";"32 144";"";"";"";"";"";"";"";"";"68 655"
"FR";"Gaumont Distribution";"02/11/2011";"16 672 833";"2 827 043";"5 730";"883";"386";"287";"746";"535";"248";"762";"2 964";"19 509 453"
"GB";"Entertainment (GB)";"21/09/2012";"";"316 686";"2 870";"299";"1 058";"194";"109";"";"";"31";"1 392";"321 247"
"GR";"Filmtreint (Filmtrade)";"29/03/2012";"";"72 243";"858";"105";"";"";"";"";"";"";"";"73 206"
"HR";"Duplicato";"05/04/2012";"";"47 484";"";"";"";"";"";"";"";"";"";"47 484"
"HU";"A Company";"22/12/2011";"5 265";"88 785";"1 556";"";"";"";"";"";"";"359";"359";"95 965"
"IT";"Medusa Film";"24/02/2012";"";"2 823 438";"7 123";"667";"";"177";"37";"504";"";"";"718";"2 831 946"
"LU";"Victory Productions (LU)";"02/11/2011";"36 420";"";"";"";"";"";"";"";"";"";"";"36 420"
"LV";"Cascade Film (LV)";"";"";"9 546";"";"";"";"";"";"";"";"";"";"9 546"
"NL";"Remain in Light (NL)";"22/03/2012";"";"1 251 163";"15 081";"1 343";"";"1 004";"";"";"";"";"1 004";"1 268 591"
"NO";"Scanbox (NO)";"09/11/2012";"";"106 912";"83 749";"492";"160";"340";"198";"237";"64";"49";"1 048";"192 201"
"PL";"Gutek Film";"13/04/2012";"";"758 042";"9 138";"986";"";"";"16 064";"2 768";"";"";"18 832";"786 998"
"PT";"NOS Lusomundo Audiovisuais (PT)";"29/03/2012";"";"216 665";"362";"";"18";"";"";"";"";"180";"198";"217 225"
"RO";"Media Pro Distributions";"20/04/2012";"";"28 095";"61";"";"";"";"";"";"";"";"";"28 156"
"RU";"Caroprokat";"26/04/2012";"";"214 080";"";"";"";"";"";"";"";"";"";"214 080"
"SE";"Scanbox Entertainment (SE)";"21/09/2012";"";"398 805";"91 944";"49";"6";"";"";"";"";"";"6";"490 804"
"SI";"Blitz Film & Video Distribution (SI)";"10/05/2012";"";"23 694";"4 618";"405";"";"";"";"";"";"";"";"28 717"
"SK";"Continental Film (SK)";"07/06/2012";"";"61 185";"1 368";"";"";"";"";"";"";"";"";"62 553"
"TR";"M3 Film";"11/05/2012";"";"68 467";"840";"773";"";"1 522";"";"";"";"";"1 522";"71 602"
"EUR EU";"";"";"17 290 589";"21 988 856";"774 758";"28 955";"8 337";"8 766";"19 807";"6 437";"2 423";"7 665";"53 435";"40 136 593"
"EUR OBS";"";"";"17 634 602";"23 410 598";"860 802";"30 504";"8 558";"10 777";"20 132";"6 916";"2 636";"7 758";"56 777";"41 993 283"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37658"
