"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2013";"2008-2013";"Total since 2004"
"BE";"Belga Films (BE)";"06/10/2004";"107 939";"42";"";"";"";"";"";"";"107 981"
"CH";"";"";"25 174";"";"";"";"";"";"";"";"25 174"
"CZ";"Bioscop (AQS)";"05/05/2005";"";"14 858";"";"";"78";"";"68";"146";"15 004"
"EE";"Estinfilm";"16/04/2005";"";"726";"";"";"";"";"";"";"726"
"ES";"Eurocine Films";"20/07/2005";"";"16 941";"155";"";"";"";"";"";"17 096"
"FR";"Gaumont Columbia TriStar";"06/10/2004";"2 490 000";"";"77";"";"";"";"";"";"2 490 077"
"GR";"Odeon (GR)";"05/08/2005";"";"9 356";"";"";"";"";"";"";"9 356"
"HU";"Best Hollywood";"13/01/2005";"";"60 668";"20";"";"";"";"";"";"60 688"
"LU";"Belga Film (LU)";"06/10/2004";"4 137";"50";"";"";"";"";"";"";"4 187"
"PL";"Monolith";"24/06/2005";"";"21 530";"";"";"";"";"";"";"21 530"
"PT";"Prisvideo Edicoes";"27/07/2006";"";"";"2 117";"";"";"";"";"";"2 117"
"RO";"IF-Independenta Film";"23/09/2005";"";"5 215";"547";"";"";"89";"";"89";"5 851"
"TR";"Ozen Film";"28/09/2007";"";"";"";"16 205";"";"";"";"";"16 205"
"EUR EU";"";"";"2 602 076";"129 386";"2 916";"";"78";"89";"68";"235";"2 734 613"
"EUR OBS";"";"";"2 627 250";"129 386";"2 916";"16 205";"78";"89";"68";"235";"2 775 992"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22160"
