"Market";"Distributor";"Release date";"2009";"2013";"Total since 2009"
"BE";"Alternative Films (BE)";"01/04/2009";"59 686";"";"59 686"
"CH";"Pathé Films (CH)";"01/04/2009";"13 156";"8";"13 164"
"FR";"Pathé Distribution (FR)";"01/04/2009";"1 960 877";"";"1 960 877"
"EUR EU";"";"";"2 020 563";"";"2 020 563"
"EUR OBS";"";"";"2 033 719";"8";"2 033 727"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2009"
" - film_id : 31726"
