"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2013";"Total since 2008"
"AT";"Constantin Film (AT)";"09/01/2009";"";"151 691";"";"";"";"151 691"
"BE";"Belga Films (BE)";"10/12/2008";"97 565";"42 093";"";"";"";"139 658"
"BG";"";"";"";"22 032";"";"";"";"22 032"
"CH";"JMH Distributions (CH)";"01/01/2009";"";"52 243";"";"";"";"52 243"
"CZ";"SPI";"19/02/2009";"";"26 524";"";"4";"20";"26 548"
"DE";"Universum Film";"08/01/2009";"";"1 354 731";"";"";"";"1 354 731"
"EE";"Acme (EE)";"19/12/2008";"8 353";"4 685";"";"";"";"13 038"
"ES";"DeAPlaneta";"20/01/2009";"";"472 190";"";"";"";"472 190"
"FR";"EuropaCorp (FR)";"26/11/2008";"1 356 000";"";"";"";"";"1 356 000"
"GB";"Icon Film Distribution (GB)";"05/12/2008";"492 171";"4 163";"";"";"";"496 334"
"HR";"Continental Film (HR)";"26/02/2009";"";"988";"";"";"";"988"
"LT";"Acme (LT)";"05/12/2008";"31 095";"";"";"";"";"31 095"
"LU";"Belga Film (LU)";"10/12/2008";"6 317";"";"";"";"";"6 317"
"LV";"Acme (LV)";"05/12/2008";"17 909";"1 251";"";"";"";"19 160"
"NL";"Entertainment One Benelux";"12/02/2009";"";"37 705";"";"";"";"37 705"
"NO";"Nordisk Filmdistribusjon";"16/01/2009";"515";"10 531";"";"";"";"11 046"
"PL";"SPI Poland";"16/01/2009";"";"61 888";"";"";"";"61 888"
"PT";"ZON Lusomundo Audiovisuais";"08/01/2009";"";"82 121";"";"";"";"82 121"
"RO";"Ro-Image 2000";"23/01/2009";"";"30 041";"";"";"";"30 041"
"SI";"Continental Film (SI)";"12/03/2009";"";"4 559";"176";"";"";"4 735"
"SK";"Film Europe (SK)";"15/04/2009";"";"16 802";"237";"";"";"17 039"
"TR";"UIP (TR)";"26/12/2008";"41 251";"49 013";"";"";"";"90 264"
"EUR EU";"";"";"2 009 410";"2 313 464";"413";"4";"20";"4 323 311"
"EUR OBS";"";"";"2 051 176";"2 425 251";"413";"4";"20";"4 476 864"
"US_CA";"Lionsgate (US)";"26/11/2008";"4 417 140";"";"";"";"";"4 417 140"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2011, 2010, 2009, 2008"
" - film_id : 30046"
