"Market";"Distributor";"Release date";"2018";"2019";"Total since 2018"
"BA";"MCF (BA)";"25/10/2018";"111";"";"111"
"BE";"Alternative Films (BE)";"03/10/2018";"138 064";"1 107";"139 171"
"CH";"Pathé Films (CH)";"03/10/2018";"44 075";"450";"44 525"
"FR";"Pathé Distribution (FR)";"03/10/2018";"2 340 362";"";"2 340 362"
"LT";"Theatrical Film Distribution (LT)";"15/03/2019";"";"229";"229"
"LU";"Alternative Film (LU)";"03/10/2018";"4 471";"";"4 471"
"ME";"MCF (ME)";"";"154";"66";"220"
"PT";"Cinemundo (PT)";"15/11/2018";"380";"";"380"
"RU";"Megogo Distribution (RU)";"31/01/2019";"";"21 098";"21 098"
"EUR EU";"";"";"2 483 277";"1 336";"2 484 613"
"EUR OBS";"";"";"2 527 617";"22 950";"2 550 567"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018"
" - film_id : 79654"
