"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"BE";"Distri7 (BE)";"01/11/2017";"51 383";"";"";"";"51 383"
"CH";"Frenetic Films (CH)";"25/10/2017";"18 722";"";"";"";"18 722"
"CZ";"Bontonfilm";"29/03/2018";"";"11 640";"88";"621";"12 349"
"ES";"Vertigo Films (ES)";"29/06/2018";"";"11 095";"";"";"11 095"
"FR";"StudioCanal (FR)";"25/10/2017";"2 467 399";"";"";"";"2 467 399"
"GR";"Spentzos Film";"09/08/2018";"";"6 397";"";"";"6 397"
"HU";"Big Bang Media";"20/12/2018";"";"16 872";"9 337";"";"26 209"
"IT";"Koch Media (IT)";"20/06/2018";"";"51 635";"";"";"51 635"
"LU";"";"";"2 152";"";"";"";"2 152"
"PL";"Kino Swiat";"16/02/2018";"";"15 397";"";"";"15 397"
"PT";"Cinemundo (PT)";"04/01/2018";"";"4 877";"";"";"4 877"
"RO";"Ro-Image 2000";"08/12/2017";"24 070";"1 913";"";"";"25 983"
"RU";"Volga (RU)";"09/11/2017";"35 344";"";"";"";"35 344"
"SK";"Bontonfilm (SK)";"31/05/2018";"";"12 938";"313";"";"13 251"
"EUR EU";"";"";"2 545 004";"132 764";"9 738";"621";"2 688 127"
"EUR OBS";"";"";"2 599 070";"132 764";"9 738";"621";"2 742 193"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73517"
