"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2014";"2016";"2010-2016";"Total since 2006"
"AT";"Tobis Film (AT)";"01/09/2006";"9 805";"1 020";"85";"30";"";"";"";"";"10 940"
"BE";"Melimedias (BE)";"08/03/2006";"33 000";"";"";"";"";"";"";"";"33 000"
"CH";"Frenetic Films (CH)";"15/02/2006";"23 686";"101";"";"";"";"";"";"";"23 787"
"DE";"Tobis Film (DE)";"31/08/2006";"37 726";"2 918";"524";"";"";"";"";"";"41 168"
"FR";"StudioCanal (FR)";"15/02/2006";"1 927 243";"";"";"";"";"";"";"";"1 927 243"
"GB";"StudioCanal (GB)";"23/02/2007";"";"27 177";"";"";"";"47";"242";"289";"27 466"
"GR";"Prooptiki (GR)";"20/07/2006";"10 593";"174";"";"";"";"";"";"";"10 767"
"IT";"DNC";"16/06/2006";"100 000";"156";"";"";"";"";"";"";"100 156"
"PT";"ZON Lusomundo Audiovisuais";"16/11/2006";"489";"164";"";"";"";"";"";"";"653"
"RO";"IF-Independenta Film";"05/01/2007";"1 147";"1 389";"";"";"11";"";"";"11";"2 547"
"EUR EU";"";"";"2 120 003";"32 998";"609";"30";"11";"47";"242";"300";"2 153 940"
"EUR OBS";"";"";"2 143 689";"33 099";"609";"30";"11";"47";"242";"300";"2 177 727"
"US_CA";"ThinkFilm";"16/02/2007";"";"291 549";"";"";"";"";"";"";"291 549"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2014, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25500"
