"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"Total since 2015"
"BE";"Alternative Films (BE)";"03/10/2018";"206 835";"20 281";"";"37 667";"2";"264 785"
"CH";"Pathé Films (CH)";"14/10/2015";"60 395";"3 637";"10";"";"";"64 042"
"CY";"Indipentant - Feelgood (CY)";"11/02/2016";"";"1 262";"";"";"";"1 262"
"FR";"Pathé Distribution (FR)";"14/10/2015";"4 377 528";"";"";"";"";"4 377 528"
"GR";"Feelgood";"11/02/2016";"";"24 165";"158";"";"";"24 323"
"HU";"MTVA";"03/12/2016";"";"10 068";"94";"";"";"10 162"
"LU";"Alternative Film (LU)";"07/10/2015";"5 343";"";"";"";"";"5 343"
"ME";"MCF MNE";"24/03/2016";"";"99";"";"";"";"99"
"PL";"Monolith";"26/08/2016";"";"74 532";"638";"";"";"75 170"
"PT";"NOS Lusomundo Audiovisuais (PT)";"03/11/2016";"";"1 459";"";"";"";"1 459"
"RU";"Nashe Kino";"11/02/2016";"";"91 691";"";"109";"";"91 800"
"SI";"Cinemania Group";"11/02/2016";"";"392";"";"";"";"392"
"EUR EU";"";"";"4 589 706";"132 159";"890";"37 667";"2";"4 760 424"
"EUR OBS";"";"";"4 650 101";"227 586";"900";"37 776";"2";"4 916 365"
"MA";"";"";"33 785";"";"";"";"";"33 785"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015"
" - film_id : 63940"
