"Market";"Distributor";"Release date";"2005";"2006";"2008";"2009";"Total since 2005"
"BE";"Cineart (BE)";"09/02/2005";"113 001";"42";"";"";"113 043"
"CH";"Pathé Films (CH)";"09/02/2005";"39 466";"";"";"42";"39 508"
"FR";"TFM Distribution";"09/02/2005";"2 510 000";"51";"";"";"2 510 051"
"GR";"Prooptiki (GR)";"25/08/2005";"66 448";"606";"61";"";"67 115"
"LU";"Cineart (LU)";"04/02/2005";"5 475";"";"";"";"5 475"
"EUR EU";"";"";"2 694 924";"699";"61";"";"2 695 684"
"EUR OBS";"";"";"2 734 390";"699";"61";"42";"2 735 192"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2009, 2008, 2006, 2005"
" - film_id : 23726"
