"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2010-2015";"Total since 2006"
"AT";"Constantin Film (AT)";"12/05/2006";"92 348";"";"";"";"";"";"";"";"";"";"";"92 348"
"BE";"Belga Films (BE)";"05/04/2006";"110 502";"67";"";"";"";"";"";"";"";"";"";"110 569"
"CH";"Mont-Blanc Distribution";"12/04/2006";"42 055";"215";"36";"87";"45";"36";"22";"";"";"";"103";"42 496"
"CZ";"SPI";"26/10/2006";"97 639";"47 078";"783";"212";"256";"";"734";"57";"";"";"1 047";"146 759"
"DE";"Universum Film";"11/05/2006";"642 656";"";"";"";"";"";"";"";"";"";"";"642 656"
"DK";"SF Film (DK)";"02/06/2006";"130 594";"1 458";"";"";"30";"";"";"";"";"";"30";"132 082"
"ES";"DeAPlaneta";"30/06/2006";"180 858";"3 377";"574";"";"5 140";"4 251";"";"22";"";"";"9 413";"194 222"
"FI";"SF Film Finland [FS Film]";"12/05/2006";"39 875";"127";"200";"";"88";"";"";"";"";"";"88";"40 290"
"FR";"SND Films";"12/04/2006";"1 367 740";"";"";"";"";"";"";"";"";"";"";"1 367 740"
"GB";"Optimum Releasing";"19/01/2007";"";"1 290";"";"";"";"";"";"";"";"";"";"1 290"
"GR";"Rosebud";"13/04/2006";"121 282";"2 484";"590";"";"";"";"";"";"";"";"";"124 356"
"HU";"SPI Hungary";"05/10/2006";"68 079";"";"";"";"";"";"";"";"";"";"";"68 079"
"IS";"";"05/08/2006";"5 693";"";"";"";"";"";"";"";"";"";"";"5 693"
"IT";"DNC";"16/03/2007";"";"147 518";"216";"";"";"";"";"";"";"";"";"147 734"
"LU";"Belga Film (LU)";"12/04/2006";"3 722";"";"";"";"";"";"";"";"";"";"";"3 722"
"NL";"Twin Film";"20/04/2006";"71 687";"686";"57";"403";"13";"";"11";"";"";"";"24";"72 857"
"NO";"SF Norway";"07/07/2006";"56 149";"990";"";"";"";"";"";"";"";"";"";"57 139"
"PL";"SPI Poland";"12/05/2006";"186 265";"1 569";"";"";"";"";"";"";"";"";"";"187 834"
"PT";"ZON Lusomundo Audiovisuais";"08/06/2006";"55 422";"385";"278";"";"";"";"";"";"";"";"";"56 085"
"RO";"New Films Intl.";"26/05/2006";"5 775";"126";"";"";"";"";"";"";"";"";"";"5 901"
"SE";"Svensk Filmindustri";"18/08/2006";"65 831";"371";"";"";"";"";"";"";"";"";"";"66 202"
"SI";"Fivia";"08/02/2007";"";"18 717";"139";"114";"";"";"240";"216";"";"";"456";"19 426"
"SK";"Film Europe (SK)";"26/10/2006";"62 100";"12 548";"3 094";"380";"197";"";"207";"26";"5";"";"435";"78 557"
"TR";"Ozen Film";"20/04/2007";"";"101 769";"602";"55";"";"";"2 640";"2 083";"585";"180";"5 488";"107 914"
"EUR EU";"";"";"3 302 375";"237 801";"5 931";"1 109";"5 724";"4 251";"1 192";"321";"5";"";"11 493";"3 558 709"
"EUR OBS";"";"";"3 406 272";"340 775";"6 569";"1 251";"5 769";"4 287";"3 854";"2 404";"590";"180";"17 084";"3 771 951"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25597"
