"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Filmladen";"13/08/2010";"";"49 232";"3 602";"170";"";"";"";"";"";"";"";"";"";"53 004"
"BE";"Cineart (BE)";"11/11/2009";"68 561";"26 826";"465";"164";"";"";"";"";"";"";"";"";"";"96 016"
"CH";"Frenetic Films (CH)";"23/12/2009";"3 980";"36 310";"539";"376";"178";"67";"71";"";"";"";"";"";"316";"41 521"
"CZ";"35 mm";"08/04/2010";"";"1 779";"73";"";"40";"";"30";"";"";"";"";"";"70";"1 922"
"DE";"LEONINE Distribution GmbH";"29/07/2010";"";"380 662";"27 978";"1 598";"";"329";"444";"208";"100";"173";"188";"42";"1 484";"411 722"
"DK";"Camera Film";"25/12/2009";"3 530";"27 688";"1 318";"363";"45";"";"";"";"";"";"";"";"45";"32 944"
"EE";"Acme (EE)";"26/03/2010";"";"925";"139";"83";"";"";"";"";"";"";"";"";"";"1 147"
"ES";"Vertigo Films (ES)";"09/03/2010";"";"270 575";"1 729";"102";"";"90";"1 626";"";"";"";"138";"";"1 854";"274 260"
"FI";"Cinema Mondo";"27/11/2009";"5 352";"5 645";"475";"";"265";"";"";"";"";"";"";"";"265";"11 737"
"FR";"EuropaCorp Dist/ARP";"04/11/2009";"1 581 719";"342 855";"";"";"";"";"";"";"";"";"";"345";"345";"1 924 919"
"GB";"StudioCanal (GB)";"16/07/2010";"";"41 903";"";"";"";"";"";"";"";"";"";"";"";"41 903"
"HR";"Discovery (HR)";"14/10/2010";"";"1 629";"";"";"";"";"";"";"";"";"";"";"";"1 629"
"IE";"StudioCanal (IE)";"16/07/2010";"";"2 451";"";"";"";"";"";"";"";"";"";"";"";"2 451"
"IT";"Bim Distribuzione";"05/02/2010";"";"865 545";"5 385";"551";"674";"22";"";"";"";"";"";"";"696";"872 177"
"LT";"Acme (LT)";"09/04/2010";"";"2 073";"";"";"";"";"";"";"";"";"";"";"";"2 073"
"LU";"Cineart (LU)";"04/11/2009";"";"2 106";"";"";"";"";"";"";"";"";"";"";"";"2 106"
"LV";"Europa Corp.";"26/02/2010";"";"646";"";"";"";"";"";"";"";"";"";"";"";"646"
"NL";"Cinéart Nederland";"14/01/2010";"";"23 636";"670";"257";"";"";"";"250";"";"";"32";"";"282";"24 845"
"NO";"Tour de Force";"25/12/2010";"";"481";"738";"";"";"";"";"";"";"";"";"";"";"1 219"
"PT";"CLMC Multimedia";"25/11/2010";"";"11 264";"14 558";"";"";"";"";"";"";"";"";"";"";"25 822"
"RO";"IF-Independenta Film";"20/11/2009";"15 451";"11 671";"497";"291";"19";"79";"";"";"";"38";"30";"";"166";"28 076"
"RU";"Ruscico";"21/10/2010";"";"1 622";"";"";"";"";"";"";"";"";"";"";"";"1 622"
"SI";"Cinemania Group";"03/03/2011";"";"";"1 634";"21";"";"";"";"17";"110";"";"";"";"127";"1 782"
"SK";"Continental Film (SK)";"16/11/2010";"";"601";"338";"25";"";"";"";"";"";"";"";"";"";"964"
"TR";"Tiglon";"17/09/2010";"";"12 375";"1 202";"";"";"";"";"";"";"";"";"";"";"13 577"
"EUR EU";"";"";"1 674 613";"2 069 712";"58 861";"3 625";"1 043";"520";"2 100";"475";"210";"211";"388";"387";"5 334";"3 812 145"
"EUR OBS";"";"";"1 678 593";"2 120 500";"61 340";"4 001";"1 221";"587";"2 171";"475";"210";"211";"388";"387";"5 650";"3 870 084"
"US_CA";"Weinstein-Dimension";"30/07/2010";"";"83 395";"";"";"";"";"";"";"";"";"";"";"";"83 395"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 31648"
