"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"BE";"Cineart (BE)";"25/10/2017";"41 618";"4 536";"1 462";"91";"47 707"
"BG";"Cinelibri";"14/12/2018";"";"1 373";"944";"40";"2 357"
"CH";"Pathé Films (CH)";"25/10/2017";"14 515";"2 222";"35";"";"16 772"
"CZ";"CinemArt (CZ)";"07/12/2017";"1 949";"890";"69";"23";"2 931"
"DK";"Another World Entertainment APS";"14/06/2018";"";"2 372";"";"";"2 372"
"ES";"Vercine 2007";"26/06/2018";"";"17 777";"314";"";"18 091"
"FI";"Future Film";"06/04/2018";"";"1 987";"";"";"1 987"
"FR";"Gaumont Distribution";"25/10/2017";"1 945 295";"";"";"2 122";"1 947 417"
"GR";"Odeon (GR)";"22/03/2018";"";"3 814";"";"";"3 814"
"HU";"Mozinet";"29/03/2018";"428";"2 873";"";"";"3 301"
"LU";"Cineart (LU)";"25/10/2017";"1 900";"";"";"";"1 900"
"ME";"MCF (ME)";"";"";"39";"8";"";"47"
"NL";"Cinéart Nederland";"12/04/2018";"";"7 340";"63";"";"7 403"
"PL";"Aurora Films";"17/08/2018";"";"9 715";"1 000";"";"10 715"
"PT";"NOS Lusomundo Audiovisuais (PT)";"19/04/2018";"";"1 274";"";"";"1 274"
"RO";"IF-Independenta Film";"29/06/2018";"";"4 985";"21";"";"5 006"
"RU";"Cinema Prestige";"15/03/2018";"";"14 702";"";"";"14 702"
"SE";"Studio S Entertainment";"13/04/2018";"";"2 066";"";"";"2 066"
"SK";"CinemaArt (SK)";"15/02/2018";"100";"395";"";"89";"584"
"EUR EU";"";"";"1 991 290";"61 397";"3 873";"2 365";"2 058 925"
"EUR OBS";"";"";"2 005 805";"78 360";"3 916";"2 365";"2 090 446"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73518"
