"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2016-2020";"Total since 2012"
"AT";"Filmladen";"21/09/2012";"70 910";"34 162";"200";"";"";"";"";"";"";"";"105 272"
"BE";"Cineart (BE)";"24/10/2012";"58 764";"24 484";"1 396";"";"";"";"";"";"";"";"84 644"
"BG";"Art Fest";"05/04/2013";"";"4 668";"242";"102";"";"";"";"";"";"";"5 012"
"CH";"Filmcoopi Zürich";"04/10/2012";"77 120";"10 381";"77";"153";"";"58";"20";"34";"";"112";"87 843"
"CZ";"Artcam";"14/02/2013";"1 061";"10 012";"86";"104";"17";"164";"78";"51";"";"310";"11 573"
"DE";"X-Verleih";"20/09/2012";"250 268";"105 621";"3 002";"378";"142";"355";"201";"85";"";"783";"360 052"
"DK";"Grand Teatret A/S";"20/12/2012";"3 023";"68 460";"856";"";"";"";"";"";"";"";"72 339"
"EE";"Must Käsi (EE)";"25/01/2013";"";"5 701";"";"";"";"";"";"";"";"";"5 701"
"ES";"Golem Distribucion";"11/01/2013";"292";"225 232";"381";"428";"114";"";"";"";"";"114";"226 447"
"FI";"Future Film (FI)";"15/02/2013";"";"34 602";"112";"";"";"";"";"";"";"";"34 714"
"FR";"Les Films du Losange";"24/10/2012";"619 650";"";"";"";"";"";"";"";"";"";"619 650"
"GB";"Curzon Artificial Eye (GB)";"16/11/2012";"96 192";"41 907";"119";"13";"56";"34";"";"";"";"90";"138 321"
"GR";"Odeon (GR)";"04/10/2012";"54 005";"7 552";"290";"158";"";"";"";"";"";"";"62 005"
"HR";"Continental Film (HR)";"25/10/2012";"4 570";"4 536";"";"";"";"";"";"";"";"";"9 106"
"HU";"Cirko Film";"01/11/2012";"5 230";"";"4";"";"";"";"";"";"";"";"5 234"
"IE";"Curzon Film World (IE)";"16/11/2012";"6 675";"3 561";"";"";"";"";"";"";"";"";"10 236"
"IT";"Teodora Film";"25/10/2012";"184 120";"69 088";"979";"";"";"";"";"";"";"";"254 187"
"LT";"Planetos filmai";"16/08/2013";"";"454";"";"";"";"";"";"";"";"";"454"
"LU";"Cineart (LU)";"24/10/2012";"3 573";"1 372";"";"";"";"";"";"";"";"";"4 945"
"LV";"Baltijas Pērle";"";"1 450";"";"";"";"";"";"";"";"";"";"1 450"
"ME";"";"";"";"97";"";"";"";"";"";"";"";"";"97"
"MK";"";"";"";"";"3";"";"";"";"";"";"";"";"3"
"NL";"Cinéart Nederland";"15/11/2012";"128 642";"136 816";"877";"";"21";"";"91";"281";"42";"435";"266 770"
"NO";"Arthaus (NO)";"25/12/2012";"8 360";"63 879";"21";"160";"";"88";"";"";"";"88";"72 508"
"PL";"Gutek Film";"02/11/2012";"55 061";"22 201";"313";"227";"";"";"";"";"";"";"77 802"
"PT";"Leopardo Filmes";"06/12/2012";"17 831";"20 335";"";"";"";"2";"16";"";"";"18";"38 184"
"RO";"IF-Independenta Film";"01/02/2013";"";"6 677";"50";"68";"36";"15";"";"53";"";"104";"6 899"
"RU";"Drugoe Kino";"25/10/2012";"24 930";"103";"";"";"";"";"";"";"";"";"25 033"
"SE";"Folkets Bio";"23/11/2012";"20 195";"31 276";"83";"1";"";"";"";"";"";"";"51 555"
"SI";"Continental Film (SI)";"10/01/2013";"1 593";"5 719";"230";"";"";"";"";"";"";"";"7 542"
"SK";"ASFK";"07/02/2013";"";"6 456";"399";"44";"219";"87";"135";"144";"";"585";"7 484"
"TR";"M3 Film";"28/12/2012";"4 482";"24 902";"69";"";"";"";"";"";"";"";"29 453"
"EUR EU";"";"";"1 583 105";"870 892";"9 619";"1 523";"605";"657";"521";"614";"42";"2 439";"2 467 578"
"EUR OBS";"";"";"1 697 997";"970 254";"9 789";"1 836";"605";"803";"541";"648";"42";"2 639";"2 682 515"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 39102"
