"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Warner Bros. (AT)";"24/08/2017";"42 194";"";"";"";"42 194"
"BA";"Blitz Film & Video Distribution (BA)";"26/10/2018";"8 294";"237";"";"";"8 531"
"BG";"A Plus Cinema";"29/09/2017";"13 631";"932";"";"";"14 563"
"CY";"";"";"2 707";"";"";"";"2 707"
"CZ";"Bioscop (AQS)";"02/11/2017";"95 799";"9 482";"856";"144";"106 281"
"DE";"Warner Bros. (DE)";"24/08/2017";"587 878";"2 747";"";"";"590 625"
"EE";"GPI (EE)";"03/11/2017";"17 427";"";"";"";"17 427"
"ES";"Big Picture (ES)";"23/02/2018";"";"183 710";"";"";"183 710"
"GB";"Sky Cinema (GB)";"02/03/2018";"";"49 807";"";"160";"49 967"
"GR";"Tanweer (GR)";"09/11/2017";"35 098";"859";"";"";"35 957"
"HR";"Blitz Film & Video Distribution (HR)";"26/10/2017";"54 764";"1 135";"";"";"55 899"
"HU";"Big Bang Media";"02/11/2017";"57 007";"345";"";"";"57 352"
"IS";"Samfilm";"01/09/2017";"11 875";"";"";"";"11 875"
"IT";"Adler Entertainment";"19/10/2017";"337 183";"3 244";"526";"";"340 953"
"LT";"Garsų pasaulio įrašai (LT)";"27/10/2017";"28 806";"";"";"";"28 806"
"LU";"";"";"";"8";"";"";"8"
"LV";"Garsu Pasaulio irasai (LV)";"03/11/2017";"17 795";"";"";"";"17 795"
"MK";"Blitz Film (MK)";"";"2 513";"";"";"";"2 513"
"PL";"Monolith";"20/10/2017";"230 252";"4 873";"524";"";"235 649"
"PT";"NOS Lusomundo Audiovisuais (PT)";"12/10/2017";"63 133";"253";"";"";"63 386"
"RO";"Ro-Image 2000";"06/10/2017";"77 939";"808";"6";"";"78 753"
"RU";"Volga (RU)";"26/10/2017";"472 829";"816";"";"";"473 645"
"SI";"Blitz Film & Video Distribution (SI)";"26/10/2017";"17 610";"399";"";"";"18 009"
"SK";"Magic Box Slovakia";"02/11/2017";"57 431";"3 413";"8";"20";"60 872"
"TR";"Tme";"16/02/2018";"";"96 561";"888";"";"97 449"
"EUR EU";"";"";"1 736 654";"262 015";"1 920";"324";"2 000 913"
"EUR OBS";"";"";"2 232 165";"359 629";"2 808";"324";"2 594 926"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 72585"
