Market;Distributor;Release date;2000;2001;2002;Total since 2000
AT;;;146 946;;;146 946
BE;;;;52 506;;52 506
CH;;;21 061;;;21 061
DE;;;2 013 931;;;2 013 931
ES;;;111 280;3 367;;114 647
FR;;;;98 434;;98 434
IT;;;20 672;;22;20 694
SE;;;2 211;;;2 211
EUR EU;;;2 295 040;154 307;22;2 449 369
EUR OBS;;;2 316 101;154 307;22;2 470 430
;;;;;;
Film Information - Admissions;;;;;;
 - source_country_ids : _All;;;;;;
 - admission_years : 2002, 2001, 2000;;;;;;
 - film_id : 15472;;;;;;
