"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2016";"2019";"2016-2019";"Total since 2004"
"AT";"Constantin Film (AT)";"22/07/2004";"1 173 846";"73";"";"9";"";"";"";"1 173 928"
"CH";"Rialto Film (CH)";"23/07/2004";"391 029";"123";"";"";"";"";"";"391 152"
"DE";"Constantin Film (DE)";"22/07/2004";"9 137 506";"13 230";"";"";"240";"49";"289";"9 151 025"
"HU";"Best Hollywood";"24/03/2005";"";"17 838";"1";"87";"";"";"";"17 926"
"LU";"";"";"29 500";"";"";"";"";"";"";"29 500"
"EUR EU";"";"";"10 340 852";"31 141";"1";"96";"240";"49";"289";"10 372 379"
"EUR OBS";"";"";"10 731 881";"31 264";"1";"96";"240";"49";"289";"10 763 531"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2016, 2007, 2006, 2005, 2004"
" - film_id : 21904"
