"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Constantin (AT)";"11/12/2015";"83 439";"60 890";"";"";"";"";"";"144 329"
"CH";"Walt Disney (CH)";"10/12/2015";"202 823";"341 267";"459";"323";"136";"18";"154";"545 026"
"CY";"Odeon (CY)";"";"";"194";"";"";"";"";"";"194"
"CZ";"Bohemian Productions";"28/07/2016";"";"8 636";"3 318";"502";"361";"";"361";"12 817"
"DE";"StudioCanal (DE)";"10/12/2015";"70 026";"1 176 552";"24 177";"5 964";"2 314";"495";"2 809";"1 279 528"
"ES";"Savor Ediciones";"26/08/2016";"";"40 435";"892";"";"";"";"";"41 327"
"FR";"StudioCanal (FR)";"10/02/2016";"";"713 150";"";"";"";"";"";"713 150"
"GR";"Word of Mouth (GR)";"07/04/2016";"";"3 984";"";"";"";"";"";"3 984"
"IS";"Myndform";"19/05/2017";"";"";"3 216";"";"";"";"";"3 216"
"IT";"Lucky Red";"24/03/2016";"";"547 723";"946";"13";"";"";"";"548 682"
"PT";"Cinemundo (PT)";"07/01/2016";"";"32 055";"";"";"";"";"";"32 055"
"TR";"Mars Dagitim";"15/04/2016";"";"99 743";"";"";"";"";"";"99 743"
"EUR EU";"";"";"153 465";"2 583 619";"29 333";"6 479";"2 675";"495";"3 170";"2 776 066"
"EUR OBS";"";"";"356 288";"3 024 629";"33 008";"6 802";"2 811";"513";"3 324";"3 424 051"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 64782"
