"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2018";"2004-2018";"Total since 2000"
"AT";"";"";"";"70 976";"";"";"";"";"";"";"";"";"";"";"";"70 976"
"BG";"";"";"";"";"304";"";"";"";"";"";"";"";"";"";"";"304"
"CH";"Eigenverleih / Propre Distribution (CH)";"11/04/2001";"";"19 384";"";"";"";"";"";"";"";"";"27";"47";"74";"19 458"
"CY";"";"";"";"";"1 742";"";"";"";"";"";"";"";"";"";"";"1 742"
"DE";"Kinowelt Filmverleih";"12/04/2001";"";"741 509";"4 514";"";"";"";"";"";"";"";"";"";"";"746 023"
"DK";"Nordisk Film Biografer";"06/10/2000";"334 351";"19 194";"996";"499";"";"27";"88";"2";"76";"";"190";"";"383";"355 423"
"ES";"";"";"";"204 712";"3 400";"";"21";"";"";"";"";"";"";"";"21";"208 133"
"FI";"";"";"45 807";"";"416";"";"";"";"";"";"";"";"";"";"";"46 223"
"FR";"CTV International";"11/04/2001";"";"247 030";"16 323";"3 209";"";"1 178";"333";"";"";"";"";"";"1 511";"268 073"
"GB";"Metrodome";"10/08/2001";"";"133 615";"";"";"";"";"";"";"";"";"";"";"";"133 615"
"GR";"Odeon (GR)";"26/04/2002";"";"";"5 136";"129";"";"";"";"";"";"";"";"";"";"5 265"
"HU";"";"";"";"";"";"130 778";"24 721";"";"";"";"";"";"";"";"24 721";"155 499"
"IS";"";"";"";"";"4 524";"1 283";"13";"";"";"";"";"";"";"";"13";"5 820"
"IT";"";"";"";"";"8 000";"8 233";"1 316";"129";"";"";"";"";"";"";"1 445";"17 678"
"NL";"";"";"";"200 666";"";"";"";"";"";"";"";"";"";"";"";"200 666"
"NO";"Nordisk Filmdistribusjon";"";"50 034";"";"";"";"";"";"181";"";"2";"";"";"";"183";"50 217"
"PL";"Vision";"31/08/2001";"";"95 468";"10 423";"3 256";"1 765";"";"";"";"";"";"";"";"1 765";"110 912"
"PT";"LNK Audiovisuais";"28/02/2003";"";"";"";"19 827";"";"";"";"";"41";"425";"";"";"466";"20 293"
"RO";"";"";"";"";"414";"";"";"";"";"";"";"";"";"";"";"414"
"SE";"Svenska Filminstitutet";"20/10/2000";"66 854";"";"";"830";"";"73";"";"";"";"184";"";"";"257";"67 941"
"EUR EU";"";"";"447 012";"1 713 170";"51 668";"166 761";"27 823";"1 407";"421";"2";"117";"609";"190";"";"30 569";"2 409 180"
"EUR OBS";"";"";"497 046";"1 732 554";"56 192";"168 044";"27 836";"1 407";"602";"2";"119";"609";"217";"47";"30 839";"2 484 675"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15494"
