"Market";"Distributor";"Release date";"2003";"2004";"2005";"Total since 2003"
"BE";"";"";"191 033";"";"";"191 033"
"BG";"Sunny";"20/06/2003";"22 703";"22 936";"";"45 639"
"CH";"";"";"166 937";"";"";"166 937"
"CZ";"Bontonfilm";"08/05/2003";"41 643";"387";"262";"42 292"
"DE";"UIP (DE)";"17/04/2003";"1 488 903";"";"";"1 488 903"
"DK";"";"";"54 119";"56";"";"54 175"
"EE";"MPDE";"27/06/2003";"16 547";"";"";"16 547"
"ES";"";"";"623 073";"";"";"623 073"
"FI";"";"";"34 940";"";"";"34 940"
"FR";"";"";"385 815";"";"";"385 815"
"GB";"";"";"1 430 047";"";"";"1 430 047"
"HU";"";"";"223 513";"";"";"223 513"
"IS";"";"";"18 191";"";"";"18 191"
"IT";"";"";"398 955";"";"";"398 955"
"LT";"";"";"13 081";"";"";"13 081"
"LU";"";"";"9 300";"";"";"9 300"
"NL";"";"";"316 303";"";"";"316 303"
"NO";"";"";"69 247";"";"";"69 247"
"PL";"";"";"191 467";"";"";"191 467"
"RO";"Ro-Image 2000";"20/06/2003";"59 605";"935";"59";"60 599"
"SE";"";"";"37 092";"";"";"37 092"
"SK";"Tatra Film";"08/05/2003";"18 541";"";"";"18 541"
"TR";"";"";"148 635";"";"";"148 635"
"EUR EU";"";"";"5 556 680";"24 314";"321";"5 581 315"
"EUR OBS";"";"";"5 959 690";"24 314";"321";"5 984 325"
"US_CA";"";"";"17 547 823";"";"";"17 547 823"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2005, 2004, 2003"
" - film_id : 20347"
