"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"Total since 2008"
"AT";"Universal Pictures (AT)";"05/09/2008";"181 939";"";"";"";"";"181 939"
"BE";"UPI (BE)";"16/07/2008";"315 000";"";"";"";"";"315 000"
"BG";"Prooptiki (BG)";"27/06/2008";"62 347";"";"";"";"";"62 347"
"CH";"Universal Pictures (CH)";"02/07/2008";"137 395";"";"";"";"";"137 395"
"CZ";"Bontonfilm";"26/06/2008";"86 833";"90";"";"40";"79";"87 042"
"DE";"Universal Pictures (DE)";"04/09/2008";"967 723";"";"";"";"";"967 723"
"DK";"UIP (DK)";"22/08/2008";"62 067";"";"5";"";"";"62 072"
"EE";"Forum Cinemas (EE)";"27/06/2008";"26 948";"";"";"";"";"26 948"
"ES";"Universal Pictures Int'l Spain";"06/08/2008";"846 180";"418";"";"";"";"846 598"
"FI";"Finnkino";"27/06/2008";"46 273";"";"";"";"";"46 273"
"FR";"Paramount Pictures (FR)";"16/07/2008";"1 110 974";"";"";"";"";"1 110 974"
"GB";"Universal Pictures (GB)";"27/06/2008";"1 864 666";"15 634";"";"";"";"1 880 300"
"HR";"Blitz Film & Video Distribution (HR)";"";"30 562";"";"";"";"";"30 562"
"HU";"UIP-Dunafilm";"26/06/2008";"115 786";"";"";"";"";"115 786"
"IS";"";"";"15 675";"";"";"";"";"15 675"
"IT";"Universal (IT)";"02/07/2008";"647 440";"";"";"";"";"647 440"
"LT";"";"20/06/2008";"49 360";"";"";"";"";"49 360"
"LV";"Forum Cinemas (LV)";"27/06/2008";"39 226";"";"";"35";"";"39 261"
"NL";"Universal Pictures Int (NL)";"11/09/2008";"284 927";"98";"";"";"";"285 025"
"NO";"UIP (NO)";"";"81 089";"";"";"";"";"81 089"
"PL";"UIP (PL)";"27/06/2008";"260 105";"";"";"";"";"260 105"
"PT";"ZON Lusomundo Audiovisuais";"10/07/2008";"262 176";"";"";"";"";"262 176"
"RO";"Ro-Image 2000";"27/06/2008";"68 807";"12";"";"";"";"68 819"
"SE";"UIP / Universal";"12/09/2008";"43 506";"";"";"";"";"43 506"
"SI";"Karantanija Cinemas";"26/06/2008";"29 965";"";"";"";"";"29 965"
"SK";"Tatra Film";"26/06/2008";"24 540";"25";"";"";"";"24 565"
"TR";"UIP (TR)";"27/06/2008";"300 082";"";"";"";"";"300 082"
"EUR EU";"";"";"7 427 350";"16 277";"5";"75";"79";"7 443 786"
"EUR OBS";"";"";"7 961 591";"16 277";"5";"75";"79";"7 978 027"
"US_CA";"Universal Pictures (US)";"27/07/2008";"18 733 781";"";"";"";"";"18 733 781"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010, 2009, 2008"
" - film_id : 30055"
