"Market";"Distributor";"Release date";"2003";"2004";"2005";"2007";"Total since 2003"
"BE";"";"";"225 697";"";"";"";"225 697"
"BG";"Aleksandra";"19/09/2003";"69 428";"69 980";"";"";"139 408"
"CH";"";"";"118 002";"";"";"";"118 002"
"CZ";"Bontonfilm";"25/09/2003";"56 053";"944";"160";"78";"57 235"
"DE";"20th Century Fox (DE)";"02/10/2003";"1 778 527";"10 534";"";"";"1 789 061"
"DK";"SF Film (DK)";"";"99 715";"189";"";"";"99 904"
"EE";"MPDE";"12/09/2003";"13 154";"";"";"";"13 154"
"ES";"";"";"2 286 081";"1 244";"";"";"2 287 325"
"FI";"";"";"49 330";"48";"";"";"49 378"
"FR";"";"";"1 018 995";"162";"";"";"1 019 157"
"GB";"20th Century Fox (GB)";"17/10/2003";"1 540 813";"";"";"";"1 540 813"
"HU";"";"";"111 057";"";"";"";"111 057"
"IS";"";"";"8 368";"";"";"";"8 368"
"IT";"";"";"971 916";"710";"";"";"972 626"
"LU";"";"";"9 400";"";"";"";"9 400"
"NL";"";"";"177 781";"";"";"";"177 781"
"NO";"";"";"35 415";"";"";"";"35 415"
"PL";"";"";"62 146";"";"";"";"62 146"
"RO";"Intercomfilm";"10/10/2003";"47 995";"3 216";"19";"";"51 230"
"SE";"";"";"79 107";"195";"";"";"79 302"
"SK";"Tatra Film";"25/09/2003";"11 683";"";"";"";"11 683"
"TR";"Ozen Film";"24/10/2003";"129 015";"";"";"";"129 015"
"EUR EU";"";"";"8 608 878";"87 222";"179";"78";"8 696 357"
"EUR OBS";"";"";"8 899 678";"87 222";"179";"78";"8 987 157"
"US_CA";"";"";"11 022 421";"";"";"";"11 022 421"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2005, 2004, 2003"
" - film_id : 20305"
