"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2016";"2017";"2010-2017";"Total since 2006"
"AT";"20th Century Fox (AT)";"16/03/2007";"";"18 711";"";"";"";"";"";"";"";"";"";"";"18 711"
"BE";"20th Century Fox (BE)";"07/02/2007";"";"63 272";"";"";"";"";"";"";"";"";"104";"104";"63 376"
"CH";"20th Century Fox (CH)";"14/02/2007";"";"46 680";"64";"10";"";"";"17";"";"";"";"";"17";"46 771"
"CZ";"Bontonfilm";"08/02/2007";"";"14 287";"887";"77";"159";"";"";"";"";"";"";"159";"15 410"
"DE";"20th Century Fox (DE)";"15/03/2007";"";"231 703";"";"";"";"";"";"";"56";"";"";"56";"231 759"
"DK";"SF Film (DK)";"02/02/2007";"";"31 515";"6";"";"";"";"";"";"";"";"";"";"31 521"
"EE";"";"17/02/2007";"";"4 542";"";"";"";"";"";"";"";"";"";"";"4 542"
"ES";"Hispano Foxfilms";"05/02/2007";"";"332 041";"35";"";"68";"";"";"";"";"";"34";"102";"332 178"
"FI";"SF Film Finland [FS Film]";"02/02/2007";"";"19 677";"";"120";"";"";"";"";"";"";"";"";"19 797"
"FR";"20th Century Fox (FR)";"14/02/2007";"";"360 752";"";"";"";"";"";"";"";"";"";"";"360 752"
"GB";"20th Century Fox (GB)";"12/01/2007";"";"1 122 657";"2 226";"";"";"";"";"";"7";"13";"";"20";"1 124 903"
"HU";"Intercom";"05/04/2007";"";"13 497";"";"";"";"";"";"";"";"";"";"";"13 497"
"IS";"";"";"";"6 019";"";"";"";"";"";"";"";"";"";"";"6 019"
"IT";"20th Century Fox (IT)";"16/02/2007";"";"122 900";"475";"70";"";"";"149";"";"";"";"";"149";"123 594"
"LV";"";"";"";"7 173";"";"";"";"";"";"";"";"";"";"";"7 173"
"NL";"Warner Bros.-20 Cent.Fox-catalogue";"08/02/2007";"";"82 634";"1 022";"47";"";"193";"";"33";"";"";"";"226";"83 929"
"NO";"Fox Films";"02/02/2007";"";"83 143";"";"";"";"";"";"";"";"";"";"";"83 143"
"PL";"Cinepix";"09/02/2007";"";"44 418";"";"";"";"";"";"";"";"";"";"";"44 418"
"PT";"CLMC Multimedia";"15/02/2007";"";"63 495";"";"";"";"";"";"";"";"";"";"";"63 495"
"RO";"Intercomfilm";"09/03/2007";"";"9 739";"36";"";"";"";"";"";"";"";"";"";"9 775"
"SE";"20th Century Fox (SE)";"26/01/2007";"";"48 794";"55";"";"";"";"";"";"";"";"";"";"48 849"
"SI";"Continental Film (SI)";"15/02/2007";"";"7 865";"118";"";"";"";"";"";"";"";"";"";"7 983"
"SK";"Tatra Film";"26/04/2007";"";"2 459";"";"";"";"";"";"";"";"";"";"";"2 459"
"TR";"Ozen Film";"23/02/2007";"";"8 882";"";"";"";"";"";"";"";"";"";"";"8 882"
"EUR EU";"";"";"";"2 602 131";"4 860";"314";"227";"193";"149";"33";"63";"13";"138";"816";"2 608 121"
"EUR OBS";"";"";"";"2 746 855";"4 924";"324";"227";"193";"166";"33";"63";"13";"138";"833";"2 752 936"
"US_CA";"Fox Searchlight (US)";"27/09/2006";"553 938";"2 031 742";"";"";"";"";"";"";"";"";"";"";"2 585 680"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 26167"
