"Market";"Distributor";"Release date";"2015";"2016";"2017";"Total since 2015"
"AT";"Constantin/Concorde";"21/01/2016";"";"42 850";"";"42 850"
"BA";"Blitz Film & Video Distribution (BA)";"";"";"5 205";"";"5 205"
"BE";"Kinepolis Film Distribution (BE)";"03/02/2016";"";"40 607";"";"40 607"
"BG";"bTV";"01/01/2016";"";"67 279";"";"67 279"
"CH";"Elite Film";"21/01/2016";"";"80 033";"";"80 033"
"CY";"Odeon (CY)";"";"";"5 710";"";"5 710"
"CZ";"Bontonfilm";"31/12/2015";"";"31 158";"36";"31 194"
"DE";"Concorde Filmverleih";"21/01/2016";"";"102 285";"";"102 285"
"DK";"UIP (DK)";"25/12/2015";"15 618";"19 869";"";"35 487"
"EE";"Acme (EE)";"";"";"13 985";"";"13 985"
"ES";"Tripictures";"01/01/2016";"";"207 856";"";"207 856"
"FI";"Future Film";"25/12/2015";"";"6 202";"";"6 202"
"FR";"SND Films";"";"";"524 087";"";"524 087"
"GB";"Warner Bros. (GB)";"05/02/2016";"";"117 173";"";"117 173"
"GE";"Interfilm International (GE)";"";"";"5 863";"";"5 863"
"GR";"Odeon (GR)";"";"15 787";"13 064";"";"28 851"
"HR";"Blitz Film & Video Distribution (HR)";"31/12/2015";"";"25 628";"";"25 628"
"HU";"Big Bang Media";"31/12/2015";"";"60 901";"";"60 901"
"IS";"Samfilm";"04/01/2016";"";"4 165";"";"4 165"
"IT";"Eagle Pictures";"27/01/2016";"";"510 354";"";"510 354"
"LT";"Acme (LT)";"25/12/2015";"10 850";"6 752";"";"17 602"
"LV";"Acme (LV)";"25/12/2015";"6 839";"8 669";"";"15 508"
"ME";"";"";"454";"454";"";"908"
"NL";"Dutch Film Works (Source Investments)";"07/01/2016";"";"121 295";"";"121 295"
"NO";"SF Norway";"25/12/2015";"14 629";"18 697";"";"33 326"
"PL";"Monolith";"08/01/2016";"";"55 100";"";"55 100"
"PT";"Pris Audiovisuais";"07/01/2016";"";"39 726";"";"39 726"
"RO";"Ro-Image 2000";"01/01/2016";"";"164 143";"";"164 143"
"RU";"Karo Premier";"24/12/2015";"567 159";"786 961";"";"1 354 120"
"SE";"Noble Entertainment";"05/02/2016";"";"28 403";"";"28 403"
"SI";"Blitz Film & Video Distribution (SI)";"31/12/2016";"";"8 887";"";"8 887"
"SK";"Bontonfilm (SK)";"31/12/2015";"1 747";"23 963";"";"25 710"
"TR";"Tme";"25/12/2015";"42 565";"14 770";"";"57 335"
"EUR EU";"";"";"50 841";"2 245 946";"36";"2 296 823"
"EUR OBS";"";"";"675 648";"3 162 094";"36";"3 837 778"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015"
" - film_id : 65208"
