"Market";"Distributor";"Release date";"2006";"2007";"2008";"2012";"2017";"Total since 2006"
"AT";"";"25/08/2006";"186 143";"";"";"";"";"186 143"
"BE";"UIP (BE)";"16/08/2006";"292 182";"";"";"";"";"292 182"
"BG";"Prooptiki (BG)";"08/09/2006";"32 963";"";"";"";"";"32 963"
"CH";"UIP (CH)";"16/08/2006";"147 329";"";"";"";"";"147 329"
"CZ";"Bontonfilm";"17/08/2006";"66 629";"303";"";"40";"";"66 972"
"DE";"UIP (DE)";"24/08/2006";"1 121 774";"";"";"";"";"1 121 774"
"DK";"UIP (DK)";"18/08/2006";"77 231";"50";"44";"";"";"77 325"
"EE";"Forum Cinemas (EE)";"18/08/2006";"20 874";"";"";"";"";"20 874"
"ES";"Universal Pictures Int'l Spain";"30/08/2006";"631 677";"991";"";"";"12";"632 680"
"FI";"Finnkino";"11/08/2006";"93 131";"";"";"";"";"93 131"
"FR";"Paramount Pictures (FR)";"16/08/2006";"1 571 241";"";"";"";"";"1 571 241"
"GB";"UIP (GB)";"04/08/2006";"1 532 316";"";"";"";"";"1 532 316"
"HU";"UIP-Dunafilm";"24/08/2006";"109 665";"";"";"";"";"109 665"
"IS";"";"";"14 860";"";"";"";"";"14 860"
"IT";"UIP (IT)";"06/10/2006";"554 794";"133";"";"";"";"554 927"
"LU";"";"18/08/2006";"13 200";"";"";"";"";"13 200"
"LV";"Forum Cinemas (LV)";"18/08/2006";"17 553";"";"";"";"";"17 553"
"NL";"Universal Pictures Int (NL)";"17/08/2006";"175 922";"";"";"";"";"175 922"
"NO";"UIP (NO)";"11/08/2006";"132 384";"11";"15";"";"";"132 410"
"PL";"UIP (PL)";"25/08/2006";"161 127";"";"";"";"";"161 127"
"PT";"ZON Lusomundo Audiovisuais";"03/08/2006";"307 788";"";"";"";"";"307 788"
"RO";"Ro-Image 2000";"04/08/2006";"31 476";"117";"";"";"";"31 593"
"SE";"";"";"105 088";"";"";"";"";"105 088"
"SI";"Karantanija Cinemas";"14/09/2006";"23 789";"1 254";"";"";"";"25 043"
"SK";"Tatra Film";"19/10/2006";"19 581";"94";"";"";"";"19 675"
"TR";"UIP (TR)";"01/09/2006";"142 862";"";"";"";"";"142 862"
"EUR EU";"";"";"7 146 144";"2 942";"44";"40";"12";"7 149 182"
"EUR OBS";"";"";"7 583 579";"2 953";"59";"40";"12";"7 586 643"
"US_CA";"";"";"9 691 425";"";"";"";"";"9 691 425"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2012, 2008, 2007, 2006"
" - film_id : 25589"
