"Market";"Distributor";"Release date";"2004";"2005";"2006";"2008";"2012";"2014";"2017";"2020";"2012-2020";"Total since 2003"
"AT";"Einhorn Film";"15/04/2004";"55 168";"";"";"";"";"";"";"";"";"55 168"
"BE";"";"";"167 694";"";"";"";"";"";"";"";"";"167 694"
"BG";"New Films";"27/08/2004";"8 122";"204";"";"";"";"";"";"";"";"8 326"
"CH";"Elite Film";"19/02/2004";"69 213";"";"";"";"";"";"";"10";"10";"69 223"
"CZ";"Bontonfilm";"15/07/2004";"27 273";"926";"";"";"";"";"";"";"";"28 199"
"DE";"3L Filmverleih (DE)";"15/04/2004";"318 919";"";"";"";"";"";"";"";"";"318 919"
"DK";"";"";"31 654";"";"";"";"";"";"";"";"";"31 654"
"EE";"MPDE";"26/03/2004";"4 789";"";"";"";"";"";"";"";"";"4 789"
"ES";"Filmax (SOGEDASA)";"27/02/2004";"291 676";"1 587";"";"1 478";"";"";"105";"";"105";"294 846"
"FI";"";"";"42 641";"";"";"";"";"";"";"";"";"42 641"
"FR";"";"";"321 922";"";"";"";"";"";"";"";"";"321 922"
"GB";"";"";"564 387";"";"";"";"";"";"";"";"";"564 387"
"HU";"";"";"20 799";"";"";"";"";"";"";"";"";"20 799"
"IS";"Myndform";"";"4 541";"";"";"";"";"";"";"";"";"4 541"
"IT";"Nexo";"30/04/2004";"462 928";"126";"";"";"";"";"";"3";"3";"463 057"
"LV";"Acme (LV)";"26/03/2004";"3 887";"";"";"";"";"";"";"";"";"3 887"
"NL";"Moonlight Films";"";"42 789";"";"";"";"6";"";"";"";"6";"42 795"
"NO";"";"";"79 183";"";"";"";"";"";"";"";"";"79 183"
"PL";"Monolith";"07/05/2004";"82 931";"";"";"";"";"";"";"";"";"82 931"
"PT";"NOS Lusomundo Audiovisuais (PT)";"26/02/2004";"50 435";"";"";"";"";"46";"";"";"46";"50 481"
"RO";"New Films Intl.";"18/06/2004";"15 442";"116";"";"";"44";"";"";"";"44";"15 602"
"SE";"Scanbox Entertainment (SE)";"23/04/2004";"61 881";"";"";"";"";"";"";"";"";"61 881"
"SK";"Tatra Film";"11/11/2004";"";"";"22";"";"";"";"";"";"";"22"
"TR";"";"";"69 045";"";"";"";"";"";"";"";"";"69 045"
"EUR EU";"";"";"2 575 337";"2 959";"22";"1 478";"50";"46";"105";"3";"204";"2 580 000"
"EUR OBS";"";"";"2 797 319";"2 959";"22";"1 478";"50";"46";"105";"13";"214";"2 801 992"
"US_CA";"";"";"5 477 133";"";"";"";"";"";"";"";"";"5 477 133"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2017, 2014, 2012, 2008, 2006, 2005, 2004"
" - film_id : 21971"
