"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2016";"2019";"2008-2019";"Total since 2004"
"AT";"Constantin Film (AT)";"03/03/2005";"";"89 676";"";"";"";"";"";"";"";"89 676"
"BG";"Aleksandra";"08/07/2005";"";"9 460";"";"";"";"";"";"";"";"9 460"
"CH";"Pathé Films (CH)";"29/12/2004";"";"48 487";"";"";"";"";"11";"";"11";"48 498"
"CZ";"Falcon";"02/01/2020";"";"20 218";"";"";"";"";"";"561";"561";"20 779"
"DE";"Constantin Film (DE)";"03/03/2005";"";"426 498";"";"";"";"";"";"";"";"426 498"
"DK";"Nordisk, Constantin, Fox";"04/02/2005";"";"78 319";"293";"16";"";"";"";"";"";"78 628"
"EE";"MPDE";"15/01/2005";"";"13 130";"";"";"";"";"";"";"";"13 130"
"ES";"DeAPlaneta";"18/01/2005";"67 314";"609 358";"";"601";"";"";"";"";"";"677 273"
"FI";"Nordisk Film Theatrical Dist.";"07/01/2005";"";"80 585";"115";"";"";"";"";"";"";"80 700"
"FR";"";"";"129 251";"745 413";"";"";"";"";"";"";"";"874 664"
"GB";"";"";"1 744 442";"";"";"";"";"";"";"";"";"1 744 442"
"HU";"SPI Hungary";"10/03/2005";"";"94 222";"";"";"";"";"";"";"";"94 222"
"IS";"";"";"9 097";"";"";"";"";"";"";"";"";"9 097"
"IT";"";"";"";"777 594";"";"";"";"";"";"";"";"777 594"
"LV";"Acme (LV)";"07/01/2005";"";"8 892";"";"";"";"";"";"";"";"8 892"
"NL";"Independent Films (NL)";"06/01/2005";"";"193 708";"";"";"";"";"";"";"";"193 708"
"NO";"Nordisk Filmdistribusjon";"07/01/2005";"";"178 200";"";"240";"37";"17";"";"";"54";"178 494"
"PL";"Vision";"21/01/2005";"";"172 573";"";"";"";"";"";"";"";"172 573"
"PT";"LNK Audiovisuais";"17/02/2005";"";"72 555";"";"";"";"";"";"";"";"72 555"
"RO";"Prooptiki (RO)";"22/04/2005";"";"12 281";"535";"";"";"";"";"";"";"12 816"
"SE";"Sony Pictures Releasing (SE)";"14/01/2005";"";"143 305";"";"";"";"";"";"";"";"143 305"
"TR";"";"";"185 933";"";"";"";"";"";"";"";"";"185 933"
"EUR EU";"";"";"1 941 007";"3 547 787";"943";"617";"";"";"";"561";"561";"5 490 915"
"EUR OBS";"";"";"2 136 037";"3 774 474";"943";"857";"37";"17";"11";"561";"626";"5 912 937"
"US_CA";"";"";"17 741 706";"";"";"";"";"";"";"";"";"17 741 706"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2016, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22082"
