"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2020";"2010-2020";"Total since 2005"
"AT";"Constantin Film (AT)";"21/07/2006";"230 444";"53";"";"";"";"";"";"230 497"
"CH";"Rialto Film (CH)";"20/07/2006";"22 480";"";"";"";"";"";"";"22 480"
"DE";"Constantin Film (DE)";"20/07/2006";"2 022 988";"3 386";"";"";"";"100";"100";"2 026 474"
"IT";"Moviemax";"04/01/2008";"";"";"68 719";"440";"64";"";"64";"69 223"
"EUR EU";"";"";"2 253 432";"3 439";"68 719";"440";"64";"100";"164";"2 326 194"
"EUR OBS";"";"";"2 275 912";"3 439";"68 719";"440";"64";"100";"164";"2 348 674"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2010, 2009, 2008, 2007, 2006"
" - film_id : 26054"
