"Market";"Distributor";"Release date";"2006";"2007";"2008";"2011";"2012";"2018";"2012-2018";"Total since 2006"
"AT";"";"05/05/2006";"213 423";"";"";"";"";"";"";"213 423"
"BE";"UIP (BE)";"03/05/2006";"328 392";"";"";"";"";"";"";"328 392"
"BG";"Prooptiki (BG)";"05/05/2006";"50 128";"";"";"";"";"";"";"50 128"
"CH";"UIP (CH)";"03/05/2006";"175 479";"";"";"";"";"42";"42";"175 521"
"CZ";"Bontonfilm";"04/05/2006";"61 655";"95";"76";"";"";"";"";"61 826"
"DE";"Universal Pictures (DE)";"04/05/2006";"1 246 062";"";"";"";"";"21";"21";"1 246 083"
"DK";"UIP (DK)";"05/05/2006";"143 208";"138";"80";"";"";"";"";"143 426"
"EE";"Forum Cinemas (EE)";"05/05/2006";"17 123";"";"";"";"";"";"";"17 123"
"ES";"Universal Pictures Int'l Spain";"05/05/2006";"1 320 207";"";"";"156";"153";"";"153";"1 320 516"
"FI";"Buena Vista (FI)";"05/05/2006";"69 444";"";"";"";"";"";"";"69 444"
"FR";"Paramount Pictures (FR)";"03/05/2006";"1 913 213";"";"";"";"";"";"";"1 913 213"
"GB";"UIP (GB)";"05/05/2006";"3 172 592";"";"";"";"";"";"";"3 172 592"
"HU";"UIP-Dunafilm";"04/05/2006";"122 148";"";"";"";"";"";"";"122 148"
"IS";"Samfilm";"05/05/2006";"24 979";"";"";"";"";"";"";"24 979"
"IT";"UIP (IT)";"05/05/2006";"949 807";"83";"";"";"";"";"";"949 890"
"LU";"";"28/04/2006";"16 900";"";"";"";"";"";"";"16 900"
"LV";"Forum Cinemas (LV)";"05/02/2006";"28 791";"";"";"";"";"";"";"28 791"
"NL";"Universal Pictures Int (NL)";"04/05/2006";"310 806";"";"";"";"";"";"";"310 806"
"NO";"UIP (NO)";"05/05/2006";"157 807";"";"";"";"";"";"";"157 807"
"PL";"UIP (PL)";"05/05/2006";"169 824";"";"";"";"";"";"";"169 824"
"PT";"ZON Lusomundo Audiovisuais";"04/05/2006";"298 428";"";"";"";"";"";"";"298 428"
"RO";"Ro-Image 2000";"05/05/2006";"42 065";"29";"";"";"";"";"";"42 094"
"SE";"";"";"231 520";"";"";"";"";"";"";"231 520"
"SI";"Karantanija Cinemas";"04/05/2006";"36 406";"";"";"";"";"";"";"36 406"
"SK";"Tatra Film";"04/05/2006";"23 329";"";"";"";"";"";"";"23 329"
"TR";"UIP (TR)";"05/05/2006";"382 203";"350";"";"";"";"";"";"382 553"
"EUR EU";"";"";"10 765 471";"345";"156";"156";"153";"21";"174";"10 766 302"
"EUR OBS";"";"";"11 505 939";"695";"156";"156";"153";"63";"216";"11 507 162"
"US_CA";"";"";"20 381 885";"";"";"";"";"";"";"20 381 885"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2012, 2011, 2008, 2007, 2006"
" - film_id : 25587"
