"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2012";"2013";"2006-2013";"Total since 2002"
"BE";"";"";"57 319";"";"";"";"";"";"";"";"";"";"";"57 319"
"CH";"";"";"118 722";"174 920";"";"";"";"";"";"";"";"";"";"293 642"
"CZ";"Hollywood";"06/03/2003";"";"13 785";"2 707";"403";"";"155";"210";"";"";"";"365";"17 260"
"DE";"Prokino Filmverleih";"21/11/2002";"287 886";"925 827";"14 788";"";"";"";"";"";"";"";"";"1 228 501"
"DK";"Sandrew Metronome (DK)";"17/01/2003";"";"64 419";"2 195";"87";"";"";"";"";"";"";"";"66 701"
"ES";"Alta Classics";"21/03/2003";"";"482 883";"7 454";"43";"20";"";"48";"";"10";"";"78";"490 458"
"FI";"";"";"";"24 027";"576";"";"";"";"";"";"";"";"";"24 603"
"FR";"Diaphana Distribution";"09/10/2002";"760 108";"250 959";"13 514";"";"1 308";"";"";"";"";"";"1 308";"1 025 889"
"GB";"";"";"227 209";"131 103";"";"";"";"";"";"";"";"";"";"358 312"
"HU";"";"";"";"26 199";"";"";"";"";"";"";"";"";"";"26 199"
"IT";"";"";"60 398";"56 387";"";"91";"";"";"";"";"";"";"";"116 876"
"LU";"";"";"";"16 300";"";"";"";"";"";"";"";"";"";"16 300"
"NL";"A-Film (NL)";"05/12/2002";"24 212";"79 165";"";"";"17";"80";"";"";"";"";"97";"103 474"
"NO";"Sandrew Metronome (NO)";"31/01/2003";"";"89 524";"";"";"181";"118";"";"";"";"";"299";"89 823"
"PL";"";"";"";"18 530";"2 040";"";"";"";"";"";"";"";"";"20 570"
"PT";"Atalanta Filmes";"04/04/2003";"";"";"";"";"";"";"";"";"";"68";"68";"68"
"RO";"";"";"";"";"1 063";"";"";"";"";"";"";"";"";"1 063"
"SE";"";"";"";"86 532";"2 687";"";"";"";"";"";"";"";"";"89 219"
"SI";"Cinemania Group";"06/02/2003";"";"";"";"";"";"";"";"123";"";"";"123";"123"
"TR";"";"";"";"27 938";"";"";"";"";"";"";"";"";"";"27 938"
"EUR EU";"";"";"1 417 132";"2 176 116";"47 024";"624";"1 345";"235";"258";"123";"10";"68";"2 039";"3 642 935"
"EUR OBS";"";"";"1 535 854";"2 468 498";"47 024";"624";"1 526";"353";"258";"123";"10";"68";"2 338";"4 054 338"
"US_CA";"";"";"2 674 550";"919 592";"";"";"";"";"";"";"";"";"";"3 594 142"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2012, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18931"
