"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"22/12/2017";"74 913";"73 322";"440";"";"148 675"
"BE";"Constantin (BE)";"21/12/2017";"3 685";"3 776";"";"";"7 461"
"CH";"Pathé Films (CH)";"21/12/2017";"32 695";"42 772";"64";"18";"75 549"
"CZ";"Bontonfilm";"13/09/2018";"";"31 651";"2 259";"41";"33 951"
"DE";"Constantin Film (DE)";"21/12/2017";"720 672";"1 417 681";"5 915";"1 678";"2 145 946"
"DK";"Angel Films";"31/10/2019";"";"";"258";"";"258"
"ES";"Flins y piniculas";"18/04/2019";"";"";"4 250";"";"4 250"
"HU";"Big Bang Media";"11/10/2018";"";"13 936";"256";"";"14 192"
"IT";"M2 Pictures";"22/11/2018";"";"62 900";"4 990";"";"67 890"
"LU";"";"";"3 491";"3 976";"";"";"7 467"
"PT";"Pris Audiovisuais";"15/11/2018";"";"1 686";"";"";"1 686"
"RU";"Raketa Releasing";"19/07/2018";"";"11 887";"";"";"11 887"
"SK";"Bontonfilm (SK)";"20/09/2018";"";"10 838";"454";"140";"11 432"
"EUR EU";"";"";"802 761";"1 619 766";"18 822";"1 859";"2 443 208"
"EUR OBS";"";"";"835 456";"1 674 425";"18 886";"1 877";"2 530 644"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73914"
