"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2018";"2013-2018";"Total since 2009"
"AT";"Filmcasino & Polyfilm";"05/02/2010";"";"16 637";"";"";"";"";"";"";"";"16 637"
"BA";"Tropik";"12/08/2011";"";"";"32";"";"";"";"";"";"";"32"
"BE";"Lumiere Productie (BE)";"13/01/2010";"";"20 477";"";"";"";"";"";"";"";"20 477"
"CH";"Frenetic Films (CH)";"09/10/2009";"3 359";"29 648";"";"11";"";"";"";"";"";"33 018"
"CZ";"Bontonfilm";"11/11/2010";"";"8 614";"4 108";"270";"176";"96";"";"";"272";"13 264"
"DE";"NFP Marketing & Distribution";"04/02/2010";"";"478 079";"";"";"";"";"";"7";"7";"478 086"
"DK";"Nordisk Film Distribution (DK)";"18/09/2009";"784 701";"1 982";"";"";"";"";"";"";"";"786 683"
"EE";"Tallinnfilm (EE)";"12/03/2010";"";"3 306";"42";"";"";"";"";"";"";"3 348"
"ES";"Vertigo Films (ES)";"22/10/2009";"833 161";"7 595";"57";"29";"15";"";"805";"";"820";"841 662"
"FI";"Nordisk Film Theatrical Dist.";"18/09/2009";"76 316";"808";"";"";"";"";"";"";"";"77 124"
"FR";"UGC Distribution";"30/06/2010";"";"271 306";"";"";"";"";"";"";"";"271 306"
"GB";"Momentum Pictures (GB)";"27/08/2010";"";"278 396";"642";"";"";"";"";"";"";"279 038"
"GR";"Rosebud";"21/01/2010";"";"8 642";"";"";"";"";"";"";"";"8 642"
"HR";"Continental Film (HR)";"06/11/2010";"";"1 409";"290";"";"";"";"";"";"";"1 699"
"HU";"Budapestfilm";"11/11/2010";"";"6 282";"2 142";"101";"";"";"";"";"";"8 525"
"IT";"Bim Distribuzione";"25/09/2009";"237 436";"2 193";"";"";"";"";"";"";"";"239 629"
"LT";"Incognito Films";"03/12/2010";"";"700";"327";"";"";"";"";"";"";"1 027"
"LU";"Lumiere Publishing (LU)";"13/01/2010";"";"970";"";"";"";"";"";"";"";"970"
"NL";"Lumiere Publishing (NL)";"21/01/2010";"";"130 606";"21";"";"";"";"";"";"";"130 627"
"NO";"Nordisk Filmdistribusjon";"18/09/2009";"487 637";"77";"";"";"";"";"";"";"";"487 714"
"PT";"ZON Lusomundo Cinemas";"25/03/2010";"";"4 420";"";"";"";"";"";"";"";"4 420"
"RO";"IF-Independenta Film";"15/10/2010";"";"2 047";"122";"";"17";"";"";"";"17";"2 186"
"RU";"Caravella-DCC";"21/10/2010";"";"1 212";"";"";"";"";"";"";"";"1 212"
"SE";"Nordisk Film";"18/09/2009";"1 029 295";"1 642";"";"";"";"";"";"";"";"1 030 937"
"SI";"Continental Film (SI)";"06/01/2011";"";"";"2 352";"";"";"";"";"";"";"2 352"
"SK";"TatraFilm/Bontonfilm";"23/12/2010";"";"256";"1 040";"";"";"";"";"";"";"1 296"
"TR";"Tiglon";"17/12/2010";"";"7 719";"3 571";"";"";"";"";"";"";"11 290"
"EUR EU";"";"";"2 960 909";"1 246 367";"11 143";"400";"208";"96";"805";"7";"1 116";"4 219 935"
"EUR OBS";"";"";"3 451 905";"1 285 023";"14 746";"411";"208";"96";"805";"7";"1 116";"4 753 201"
"US_CA";"Music Box Films";"09/07/2010";"";"1 043 477";"";"";"";"";"";"";"";"1 043 477"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 32792"
