"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2015";"2009-2015";"Total since 2005"
"AT";"Constantin Film (AT)";"13/07/2005";"107 911";"";"";"";"";"";"";"107 911"
"BE";"";"";"231 699";"";"";"";"";"";"";"231 699"
"BG";"Aleksandra";"22/07/2005";"28 758";"";"";"";"";"";"";"28 758"
"CH";"20th Century Fox (CH)";"20/07/2005";"94 282";"";"87";"";"";"";"";"94 369"
"CZ";"Bontonfilm";"04/08/2005";"53 290";"1 357";"301";"140";"47";"";"47";"55 135"
"DE";"Constantin Film (DE)";"14/07/2005";"685 077";"";"";"";"";"";"";"685 077"
"DK";"SF Film (DK)";"05/08/2005";"123 325";"242";"904";"";"";"";"";"124 471"
"EE";"MPDE";"30/07/2005";"11 887";"";"";"";"";"";"";"11 887"
"ES";"Hispano Foxfilms";"12/07/2005";"2 622 907";"600";"85 534";"";"";"2 315";"2 315";"2 711 356"
"FI";"SF Film Finland [FS Film]";"29/07/2005";"63 379";"";"";"";"";"";"";"63 379"
"FR";"20th Century Fox (FR)";"20/07/2005";"2 190 000";"936";"";"";"";"";"";"2 190 936"
"GB";"20th Century Fox (GB)";"22/07/2005";"2 715 389";"";"";"";"";"";"";"2 715 389"
"HU";"Intercom";"04/08/2005";"93 447";"";"";"";"";"";"";"93 447"
"IS";"";"";"18 699";"";"";"";"";"";"";"18 699"
"IT";"";"";"1 526 803";"";"";"";"";"";"";"1 526 803"
"LU";"";"";"8 800";"";"";"";"";"";"";"8 800"
"LV";"Baltic Cinema";"29/07/2005";"9 266";"";"";"";"";"";"";"9 266"
"NL";"20th Century Fox (NL)";"14/07/2005";"146 379";"50";"";"";"";"";"";"146 429"
"NO";"";"29/07/2005";"115 505";"";"329";"";"";"";"";"115 834"
"PL";"Cinepix";"19/08/2005";"49 024";"";"";"";"";"";"";"49 024"
"PT";"";"28/07/2005";"236 173";"";"";"";"";"";"";"236 173"
"RO";"Intercomfilm";"09/09/2005";"21 973";"454";"";"";"";"";"";"22 427"
"SE";"Sandrew / Warner";"13/07/2005";"153 277";"";"45";"";"";"";"";"153 322"
"SK";"Tatra Film";"04/08/2005";"";"41";"";"";"";"";"";"41"
"TR";"Ozen Film";"12/08/2005";"146 628";"";"";"";"";"";"";"146 628"
"EUR EU";"";"";"11 078 764";"3 680";"86 784";"140";"47";"2 315";"2 362";"11 171 730"
"EUR OBS";"";"";"11 453 878";"3 680";"87 200";"140";"47";"2 315";"2 362";"11 547 260"
"US_CA";"";"";"24 133 553";"";"";"";"";"";"";"24 133 553"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23729"
