"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"Total since 2008"
"AT";"Warner Bros. (AT)";"04/12/2008";"71 875";"4 555";"";"";"76 430"
"BE";"20th Century Fox (BE)";"24/12/2008";"44 885";"";"";"";"44 885"
"BG";"";"";"";"13 553";"";"";"13 553"
"CH";"Warner Bros. (CH)";"04/12/2008";"31 157";"4 184";"";"";"35 341"
"CZ";"Warner Bros. (CZ)";"11/12/2008";"30 994";"3 859";"";"3";"34 856"
"DE";"Warner Bros. (DE)";"04/12/2008";"133 667";"10 308";"";"";"143 975"
"DK";"SF Film (DK)";"05/12/2008";"16 099";"1 352";"";"";"17 451"
"EE";"Forum Cinemas (EE)";"19/12/2008";"4 611";"1 587";"";"";"6 198"
"ES";"Tripictures";"10/12/2008";"130 296";"31 184";"17";"";"161 497"
"GB";"Success Entertainment";"28/11/2008";"1 973 552";"5 659";"";"";"1 979 211"
"HR";"Blitz Film & Video Distribution (HR)";"18/12/2008";"";"9 406";"";"";"9 406"
"HU";"Intercom";"18/12/2008";"57 108";"";"";"";"57 108"
"IS";"";"";"14 284";"";"";"";"14 284"
"IT";"Warner Bros. (IT)";"23/01/2009";"";"66 208";"";"";"66 208"
"LV";"Forum Cinemas (LV)";"";"";"7 004";"";"";"7 004"
"NL";"Warner Bros. (NL)";"18/12/2008";"46 812";"18 067";"";"";"64 879"
"NO";"SF Norway";"26/12/2008";"6 169";"7 980";"";"";"14 149"
"PL";"Warner (PL)";"12/12/2008";"81 569";"2 517";"";"";"84 086"
"PT";"Columbia TriStar Warner (PT)";"04/12/2008";"41 706";"21 277";"";"";"62 983"
"RO";"Intercomfilm";"19/12/2008";"31 553";"14 864";"";"";"46 417"
"SE";"SF Film (SE)";"27/02/2009";"";"19 454";"";"";"19 454"
"SI";"Blitz Film & Video Distribution (SI)";"18/12/2008";"18 427";"7 408";"";"";"25 835"
"SK";"Continental Film (SK)";"11/12/2008";"12 887";"6 348";"";"";"19 235"
"TR";"Warner Bros. (TR)";"27/02/2009";"";"30 066";"";"";"30 066"
"EUR EU";"";"";"2 696 041";"244 610";"17";"3";"2 940 671"
"EUR OBS";"";"";"2 747 651";"286 840";"17";"3";"3 034 511"
"US_CA";"Warner Bros. (US)";"26/11/2008";"16 069 421";"635 679";"";"";"16 705 100"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2011, 2010, 2009, 2008"
" - film_id : 30404"
