"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2016-2020";"Total since 2012"
"AT";"Constantin Film (AT)";"15/03/2012";"222 198";"145";"";"";"";"";"";"";"";"";"222 343"
"CH";"Pathé Films (CH)";"29/03/2012";"73 254";"33";"";"66";"";"";"";"";"";"";"73 353"
"DE";"Constantin Film (DE)";"15/03/2012";"2 390 245";"";"859";"46";"158";"32";"96";"48";"56";"390";"2 391 540"
"RU";"Cinema Prestige";"26/09/2013";"";"4 773";"";"";"";"";"";"";"";"";"4 773"
"EUR EU";"";"";"2 612 443";"145";"859";"46";"158";"32";"96";"48";"56";"390";"2 613 883"
"EUR OBS";"";"";"2 685 697";"4 951";"859";"112";"158";"32";"96";"48";"56";"390";"2 692 009"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 40853"
