"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2016";"Total since 2001"
"AT";"";"";"224 239";"";"";"";"";"224 239"
"CH";"Filmcoopi Zürich";"10/05/2001";"76 349";"";"";"23 235";"27";"99 611"
"CZ";"Bioscop (AQS)";"03/10/2002";"";"187 397";"42 078";"132";"";"229 607"
"DE";"Constantin Film (DE)";"";"1 778 841";"";"";"";"";"1 778 841"
"HU";"";"";"";"246 000";"144";"";"";"246 144"
"IT";"";"";"";"";"1 743";"";"";"1 743"
"RO";"";"";"";"";"5 689";"";"";"5 689"
"SK";"Continental Film (SK)";"13/02/2003";"";"";"49 448";"14";"";"49 462"
"EUR EU";"";"";"2 003 080";"433 397";"99 102";"146";"";"2 535 725"
"EUR OBS";"";"";"2 079 429";"433 397";"99 102";"23 381";"27";"2 635 336"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2004, 2003, 2002, 2001"
" - film_id : 17887"
