"Market";"Distributor";"Release date";"2008";"2009";"2012";"2019";"Total since 2008"
"AT";"Universal Pictures (AT)";"10/10/2008";"82 900";"";"";"";"82 900"
"BE";"UPI (BE)";"01/10/2008";"155 000";"";"";"";"155 000"
"CH";"Universal Pictures (CH)";"01/10/2008";"82 053";"";"";"";"82 053"
"CZ";"Bontonfilm";"02/10/2008";"39 248";"564";"";"";"39 812"
"DE";"Universal Pictures (DE)";"09/10/2008";"386 321";"";"";"";"386 321"
"DK";"UIP (DK)";"03/10/2008";"35 989";"23";"";"";"36 012"
"EE";"Forum Cinemas (EE)";"10/10/2008";"8 596";"";"";"";"8 596"
"ES";"Paramount Spain";"02/10/2008";"285 227";"8";"370";"";"285 605"
"FI";"Finnkino";"03/10/2008";"20 833";"";"";"";"20 833"
"FR";"Paramount Pictures (FR)";"24/12/2008";"176 480";"146 951";"";"";"323 431"
"GB";"Paramount (GB)";"17/10/2008";"643 691";"5 686";"";"";"649 377"
"HU";"UIP-Dunafilm";"02/10/2008";"68 542";"";"";"";"68 542"
"IS";"";"";"9 119";"";"";"";"9 119"
"IT";"Universal (IT)";"20/02/2009";"";"27 552";"";"150";"27 702"
"NL";"Universal Pictures Int (NL)";"09/10/2008";"191 743";"";"";"";"191 743"
"NO";"UIP (NO)";"24/10/2008";"17 610";"450";"";"";"18 060"
"PL";"UIP (PL)";"17/10/2008";"131 177";"";"";"";"131 177"
"PT";"ZON Lusomundo Audiovisuais";"09/10/2008";"150 912";"190";"";"";"151 102"
"RO";"Ro-Image 2000";"24/10/2008";"34 622";"";"";"18";"34 640"
"SE";"UIP / Paramount";"03/10/2008";"26 929";"";"";"";"26 929"
"SI";"Karantanija Cinemas";"16/10/2008";"16 633";"11";"";"";"16 644"
"SK";"Tatra Film";"09/10/2008";"20 614";"100";"";"";"20 714"
"TR";"UIP (TR)";"03/10/2008";"97 252";"";"";"";"97 252"
"EUR EU";"";"";"2 475 457";"181 085";"370";"168";"2 657 080"
"EUR OBS";"";"";"2 681 491";"181 535";"370";"168";"2 863 564"
"US_CA";"Dreamworks/Paramount";"26/09/2008";"14 102 380";"";"";"";"14 102 380"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2012, 2009, 2008"
" - film_id : 30154"
