"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2007";"Total since 2002"
"BE";"";"";"";"70 142";"";"";"";"70 142"
"CY";"";"";"1 826";"";"";"";"";"1 826"
"CZ";"Bontonfilm";"05/12/2002";"24 780";"22 441";"127";"323";"";"47 671"
"DE";"Constantin Film (DE)";"25/07/2002";"989 973";"2 986";"";"";"";"992 959"
"DK";"";"";"16 999";"";"";"";"";"16 999"
"EE";"";"";"4 876";"";"";"";"";"4 876"
"ES";"";"";"55 305";"1 529";"";"";"";"56 834"
"FR";"";"";"";"188 203";"";"";"";"188 203"
"GB";"";"";"392 109";"";"";"";"";"392 109"
"HU";"";"";"38 417";"";"";"";"";"38 417"
"IS";"Myndform";"";"6 444";"";"";"";"";"6 444"
"IT";"Filmauro";"24/04/2003";"";"351 319";"";"";"10";"351 329"
"LT";"";"";"10 860";"";"";"";"";"10 860"
"NL";"";"";"62 802";"33 226";"";"";"";"96 028"
"PL";"Monolith";"04/10/2002";"29 802";"";"";"";"";"29 802"
"RO";"Glob-Com";"09/01/2004";"";"";"15 868";"4";"";"15 872"
"SK";"Tatra Film";"03/04/2003";"";"8 069";"";"";"";"8 069"
"EUR EU";"";"";"1 627 749";"677 915";"15 995";"327";"10";"2 321 996"
"EUR OBS";"";"";"1 634 193";"677 915";"15 995";"327";"10";"2 328 440"
"US_CA";"";"";"3 635 499";"";"";"";"";"3 635 499"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2005, 2004, 2003, 2002"
" - film_id : 18804"
