"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"Total since 2002"
"BE";"";"";"98 621";"";"";"";"98 621"
"BG";"Aleksandra";"27/09/2002";"8 754";"8 730";"";"";"17 484"
"CH";"";"";"30 000";"";"";"";"30 000"
"CY";"";"";"3 797";"";"";"";"3 797"
"CZ";"Bontonfilm";"15/08/2002";"53 620";"1 868";"10";"319";"55 817"
"DE";"Concorde Filmverleih";"04/07/2002";"613 054";"";"";"";"613 054"
"DK";"";"";"46 585";"";"";"";"46 585"
"EE";"MPDE";"28/06/2002";"8 980";"";"";"";"8 980"
"ES";"";"";"298 466";"189";"";"";"298 655"
"FI";"";"";"11 018";"";"";"";"11 018"
"FR";"";"";"152 281";"28";"";"";"152 309"
"GB";"";"";"500 877";"";"";"";"500 877"
"HU";"";"";"44 245";"";"";"";"44 245"
"IS";"";"";"6 642";"";"";"";"6 642"
"IT";"";"";"371 049";"";"";"";"371 049"
"LT";"";"";"18 714";"";"";"";"18 714"
"NL";"";"";"39 753";"";"";"";"39 753"
"NO";"";"";"43 827";"";"";"";"43 827"
"PL";"Monolith";"12/07/2002";"92 147";"";"";"";"92 147"
"RO";"";"";"22 369";"119";"";"";"22 488"
"SE";"";"";"47 401";"";"";"";"47 401"
"SK";"Tatra Film";"15/08/2002";"14 988";"";"";"";"14 988"
"TR";"";"";"205 937";"";"";"";"205 937"
"EUR EU";"";"";"2 446 719";"10 934";"10";"319";"2 457 982"
"EUR OBS";"";"";"2 733 125";"10 934";"10";"319";"2 744 388"
"US_CA";"";"";"13 469 434";"";"";"";"13 469 434"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2005, 2004, 2003, 2002"
" - film_id : 18714"
