"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Constantin/Studiocanal";"19/11/2015";"440 588";"22 463";"";"";"";"";"";"463 051"
"BA";"Blitz Film & Video Distribution (BA)";"";"8 112";"";"";"";"";"";"";"8 112"
"BE";"Belga Films (BE)";"18/11/2015";"511 112";"74 361";"";"";"";"";"";"585 473"
"BG";"Forum Film (BG)";"20/11/2015";"111 754";"2 939";"";"";"";"";"";"114 693"
"CH";"Impuls Pictures";"18/11/2015";"329 356";"21 799";"";"";"";"20";"20";"351 175"
"CZ";"Forum Film (CZ)";"19/11/2015";"198 513";"4 200";"";"";"";"";"";"202 713"
"DE";"StudioCanal (DE)";"19/11/2015";"2 709 380";"1 361 284";"43";"208";"67";"";"67";"4 070 982"
"DK";"Nordisk Film Distribution (DK)";"18/11/2015";"289 340";"24 635";"";"";"";"";"";"313 975"
"EE";"ETD";"18/11/2015";"36 839";"691";"";"";"";"";"";"37 530"
"ES";"Aurum Producciones";"20/11/2015";"1 717 410";"78 990";"";"";"";"";"";"1 796 400"
"FI";"Nordisk Film Theatrical Dist.";"18/11/2015";"155 044";"12 976";"";"";"";"";"";"168 020"
"FR";"Metropolitan Filmexport";"18/11/2015";"2 761 710";"";"";"";"";"1 980";"1 980";"2 763 690"
"GB";"Lionsgate (GB)";"20/11/2015";"3 898 812";"143 081";"";"";"";"197";"197";"4 042 090"
"GR";"Spentzos Film";"";"122 445";"";"";"";"";"";"";"122 445"
"HR";"Duplicato";"19/11/2015";"58 556";"1 590";"";"";"";"";"";"60 146"
"HU";"Forum-Hungary";"19/11/2015";"252 433";"7 253";"";"";"";"";"";"259 686"
"IS";"Myndform";"20/11/2015";"25 460";"703";"";"";"";"";"";"26 163"
"IT";"Universal (IT)";"19/11/2015";"1 191 736";"190";"";"";"";"";"";"1 191 926"
"LT";"Theatrical Film Distribution / WDSMPI (LT)";"20/11/2015";"50 821";"349";"";"";"";"";"";"51 170"
"LV";"LTD Latvian Theatrical Distribution";"18/11/2015";"37 979";"1 026";"";"";"";"";"";"39 005"
"ME";"";"";"1 783";"1 783";"";"";"";"";"";"3 566"
"NL";"Independent Films (NL)";"18/11/2015";"690 630";"78 367";"";"";"";"";"";"768 997"
"NO";"Nordisk Filmdistribusjon";"18/11/2015";"270 917";"14 065";"";"";"";"";"";"284 982"
"PL";"Forum Film (PL)";"20/11/2015";"666 754";"9 768";"";"";"";"";"";"676 522"
"PT";"Pris Audiovisuais";"19/11/2015";"320 910";"17 622";"";"";"";"";"";"338 532"
"RO";"Forum Film Romania";"20/11/2015";"188 759";"1 305";"";"";"";"";"";"190 064"
"RU";"WDSSPR (RU)";"19/11/2015";"2 893 247";"1 516";"";"";"";"";"";"2 894 763"
"SE";"Nordisk Film";"18/11/2015";"464 806";"57 215";"";"";"";"";"";"522 021"
"SI";"Blitz Film & Video Distribution (SI)";"19/11/2015";"24 479";"1 821";"";"";"";"";"";"26 300"
"SK";"Forum Film Slovakia";"19/11/2015";"102 526";"1 055";"";"";"";"";"";"103 581"
"TR";"Tme";"20/11/2015";"744 438";"900";"";"";"";"";"";"745 338"
"EUR EU";"";"";"17 003 336";"1 903 181";"43";"208";"67";"2 177";"2 244";"18 909 012"
"EUR OBS";"";"";"21 276 649";"1 943 947";"43";"208";"67";"2 197";"2 264";"23 223 111"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 63937"
