"Market";"Distributor";"Release date";"2009";"2010";"Total since 2009"
"AT";"Universal Pictures (AT)";"30/04/2009";"38 055";"";"38 055"
"BE";"UPI (BE)";"25/03/2009";"97 000";"";"97 000"
"BG";"";"";"27 166";"";"27 166"
"CH";"UIP (CH)";"25/03/2009";"95 047";"";"95 047"
"CZ";"Bontonfilm";"07/05/2009";"22 565";"18";"22 583"
"DE";"Universal Pictures (DE)";"30/04/2009";"286 965";"";"286 965"
"DK";"UIP (DK)";"01/05/2009";"13 788";"";"13 788"
"EE";"Forum Cinemas (EE)";"27/03/2009";"4 988";"";"4 988"
"ES";"Universal Pictures Int'l Spain";"16/03/2009";"406 554";"";"406 554"
"FI";"Finnkino";"29/05/2009";"9 040";"";"9 040"
"FR";"UIP (FR)";"25/03/2009";"531 366";"";"531 366"
"GB";"Universal Pictures (GB)";"20/03/2009";"528 668";"10 789";"539 457"
"HR";"Blitz Film & Video Distribution (HR)";"26/03/2009";"23 704";"";"23 704"
"HU";"UIP-Dunafilm";"30/04/2009";"48 016";"";"48 016"
"IT";"Universal (IT)";"10/04/2009";"354 949";"";"354 949"
"LV";"Forum Cinemas (LV)";"";"9 180";"";"9 180"
"NL";"Universal Pictures Int (NL)";"28/05/2009";"60 476";"";"60 476"
"NO";"UIP (NO)";"05/06/2009";"16 146";"";"16 146"
"PL";"UIP (PL)";"30/04/2009";"47 573";"";"47 573"
"PT";"ZON Lusomundo Audiovisuais";"26/03/2009";"144 111";"";"144 111"
"RO";"Ro-Image 2000";"01/05/2009";"26 598";"";"26 598"
"SE";"UIP / Universal";"29/05/2009";"23 576";"";"23 576"
"SI";"Karantanija Cinemas";"30/04/2009";"12 326";"";"12 326"
"SK";"Tatra Film";"07/05/2009";"9 838";"";"9 838"
"TR";"UIP (TR)";"20/03/2009";"100 527";"";"100 527"
"EUR EU";"";"";"2 726 502";"10 807";"2 737 309"
"EUR OBS";"";"";"2 938 222";"10 807";"2 949 029"
"US_CA";"Universal Pictures (US)";"20/03/2009";"5 409 710";"";"5 409 710"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2009"
" - film_id : 32251"
