"Market";"Distributor";"Release date";"2004";"2005";"2007";"2010";"2012";"2014";"2016";"2012-2016";"Total since 2004"
"AT";"UIP (AT)";"22/10/2004";"139 296";"";"";"";"";"";"";"";"139 296"
"BE";"Park Circus (BE)";"18/07/2016";"262 932";"";"";"";"";"";"292";"292";"263 224"
"BG";"Sunny";"03/12/2004";"20 771";"7 270";"";"";"";"";"";"";"28 041"
"CH";"Universal Pictures (CH)";"08/09/2004";"143 443";"";"146";"";"";"";"";"";"143 589"
"CZ";"Bontonfilm";"07/10/2004";"22 176";"761";"65";"";"69";"";"";"69";"23 071"
"DE";"UIP (DE)";"21/10/2004";"1 093 675";"13 557";"";"";"";"";"";"";"1 107 232"
"DK";"UIP (DK)";"08/10/2004";"84 298";"94";"1 371";"";"";"";"";"";"85 763"
"EE";"MPDE";"24/09/2004";"11 506";"";"";"";"";"";"";"";"11 506"
"ES";"Universal Pictures Int'l Spain";"13/09/2004";"979 201";"212";"5";"";"";"";"";"";"979 418"
"FI";"Buena Vista (FI)";"01/10/2004";"58 915";"87";"";"";"";"";"";"";"59 002"
"FR";"";"";"1 064 064";"";"";"";"";"";"";"";"1 064 064"
"GB";"UIP (GB)";"13/08/2004";"2 573 699";"";"";"";"";"14";"";"14";"2 573 713"
"HU";"";"";"69 405";"";"";"";"";"";"";"";"69 405"
"IS";"";"";"19 847";"";"";"";"";"";"";"";"19 847"
"IT";"";"";"576 253";"793";"";"";"";"";"";"";"577 046"
"LV";"Baltic Cinema";"08/10/2004";"10 366";"";"";"";"";"";"";"";"10 366"
"NL";"";"";"250 102";"";"";"";"";"";"";"";"250 102"
"NO";"UIP (NO)";"01/10/2004";"142 981";"";"9";"";"";"";"";"";"142 990"
"PL";"";"";"111 284";"";"";"";"";"";"";"";"111 284"
"PT";"";"";"130 650";"";"";"";"";"";"";"";"130 650"
"RO";"Ro-Image 2000";"22/10/2004";"32 820";"1 082";"";"";"";"";"";"";"33 902"
"SE";"";"";"148 389";"";"";"";"";"";"";"";"148 389"
"SI";"Karantanija Cinemas";"23/09/2004";"";"";"";"2";"";"";"";"";"2"
"SK";"Tatra Film";"07/10/2004";"10 130";"";"";"";"";"";"";"";"10 130"
"TR";"";"";"174 916";"";"";"";"";"";"";"";"174 916"
"EUR EU";"";"";"7 649 932";"23 856";"1 441";"2";"69";"14";"292";"375";"7 675 606"
"EUR OBS";"";"";"8 131 119";"23 856";"1 596";"2";"69";"14";"292";"375";"8 156 948"
"US_CA";"";"";"28 355 555";"";"";"";"";"";"";"";"28 355 555"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2014, 2012, 2010, 2007, 2005, 2004"
" - film_id : 21932"
