"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2020";"2013-2020";"Total since 2009"
"AT";"Filmcasino & Polyfilm";"16/10/2009";"34 928";"552";"";"";"";"";"";"";"";"";"";"35 480"
"BA";"Tropik";"11/08/2011";"";"";"33";"";"";"";"";"";"";"";"";"33"
"BE";"Lumiere Productie (BE)";"20/05/2009";"60 287";"1 892";"";"";"";"";"";"";"";"";"";"62 179"
"CH";"Frenetic Films (CH)";"13/05/2009";"71 418";"1 583";"";"15";"35";"";"";"";"4";"3";"42";"73 058"
"CY";"Rosebud (CY)";"07/05/2010";"";"459";"";"";"";"";"";"";"";"";"";"459"
"CZ";"Bontonfilm";"01/07/2010";"";"28 508";"1 490";"445";"263";"293";"42";"7";"";"";"605";"31 048"
"DE";"NFP TV";"01/10/2009";"666 747";"49 671";"";"";"";"";"";"";"";"";"";"716 418"
"DK";"Nordisk Film Distribution (DK)";"27/02/2009";"959 207";"162";"";"";"";"";"";"";"";"";"";"959 369"
"EE";"Tallinnfilm (EE)";"21/01/2010";"";"4 843";"101";"19";"30";"75";"";"";"";"";"105";"5 068"
"ES";"Vertigo Films (ES)";"25/05/2009";"1 555 356";"744";"";"17";"";"";"";"";"";"";"";"1 556 117"
"FI";"Nordisk Film Theatrical Dist.";"27/03/2009";"86 296";"219";"";"";"";"";"";"";"";"";"";"86 515"
"FR";"UGC Distribution";"13/05/2009";"1 216 189";"";"";"";"";"";"";"";"";"";"";"1 216 189"
"GB";"Momentum Pictures (GB)";"12/03/2010";"";"367 459";"";"";"";"";"";"16";"";"";"16";"367 475"
"GR";"Rosebud";"01/10/2009";"";"723";"346";"";"";"";"";"";"";"";"";"1 069"
"HR";"Continental Film (HR)";"14/10/2010";"";"3 347";"728";"";"";"";"";"";"";"";"";"4 075"
"HU";"Budapestfilm";"08/07/2010";"";"25 305";"1 275";"247";"";"";"";"";"";"";"";"26 827"
"IT";"Bim Distribuzione";"29/05/2009";"616 540";"960";"";"2";"";"";"";"";"";"";"";"617 502"
"LT";"Incognito Films";"20/08/2010";"";"6 574";"99";"";"";"";"";"";"";"";"";"6 673"
"LV";"Riga";"";"";"865";"";"";"";"";"";"";"";"";"";"865"
"NL";"Lumiere Publishing (NL)";"06/08/2009";"201 392";"12 020";"";"95";"";"";"";"";"";"";"";"213 507"
"NO";"Nordisk Filmdistribusjon";"13/03/2009";"532 167";"24";"";"";"";"";"";"";"";"";"";"532 191"
"PL";"Monolith";"06/11/2009";"40 497";"4 919";"207";"1 069";"";"";"";"";"";"";"";"46 692"
"PT";"ZON Lusomundo Audiovisuais";"24/09/2009";"22 441";"5";"";"";"";"";"";"";"";"";"";"22 446"
"RO";"IF-Independenta Film";"10/09/2010";"";"5 171";"30";"";"7";"";"";"";"";"";"7";"5 208"
"RU";"Caravella-DCC";"02/09/2010";"";"10 610";"";"";"";"";"";"";"";"";"";"10 610"
"SE";"Nordisk Film";"27/02/2009";"1 217 018";"88";"1";"";"";"";"";"";"";"";"";"1 217 107"
"SI";"Continental Film (SI)";"23/12/2010";"";"893";"5 339";"161";"";"";"";"";"";"";"";"6 393"
"SK";"TatraFilm/Bontonfilm";"16/09/2010";"";"2 619";"";"";"";"";"";"";"";"";"";"2 619"
"TR";"Tiglon";"17/09/2010";"";"44 658";"";"";"";"";"";"";"";"";"";"44 658"
"EUR EU";"";"";"6 676 898";"517 998";"9 616";"2 055";"300";"368";"42";"23";"";"";"733";"7 207 300"
"EUR OBS";"";"";"7 280 483";"574 873";"9 649";"2 070";"335";"368";"42";"23";"4";"3";"775";"7 867 850"
"US_CA";"Music Box Films";"19/03/2009";"233 415";"1 323 851";"";"";"";"";"";"";"";"";"";"1 557 266"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 32541"
