"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Fox Int'l (AT)";"14/03/2014";"";"19 138";"";"";"";"";"";"";"";"19 138"
"BE";"20th Century Fox (BE)";"26/03/2014";"";"";"";"794";"18";"253";"";"";"271";"1 065"
"CH";"20th Century Fox (CH)";"05/02/2014";"";"16 900";"";"";"";"70";"";"";"70";"16 970"
"CY";"Fox (CY)";"";"";"3 786";"";"";"";"";"";"";"";"3 786"
"CZ";"CinemArt (CZ)";"16/01/2014";"";"26 388";"4 934";"2 881";"2 503";"649";"";"";"3 152";"37 355"
"DE";"20th Century Fox (DE)";"13/03/2014";"";"205 619";"4 200";"699";"632";"";"";"";"632";"211 150"
"DK";"Filmcompagniet (SF-Film)";"03/04/2014";"";"8 615";"";"";"";"";"";"";"";"8 615"
"ES";"Hispano Foxfilms";"13/12/2013";"";"909 013";"2 876";"";"";"";"113";"";"113";"912 002"
"FI";"FS Film (FI)";"04/10/2014";"";"10 696";"";"";"";"";"";"";"";"10 696"
"FR";"20th Century Fox (FR)";"05/02/2014";"";"138 584";"";"";"";"";"";"";"";"138 584"
"GB";"20th Century Fox (GB)";"14/02/2014";"";"612 975";"127";"";"36";"";"";"120";"156";"613 258"
"GR";"Odeon (GR)";"";"";"56 153";"";"";"";"";"";"";"";"56 153"
"HR";"Fox (HR)";"23/01/2014";"";"17 259";"";"";"";"";"";"";"";"17 259"
"HU";"Intercom";"30/01/2014";"";"22 733";"37";"";"";"";"";"";"";"22 770"
"IS";"Sena";"";"";"2 661";"";"";"";"";"";"";"";"2 661"
"IT";"20th Century Fox (IT)";"27/03/2014";"";"642 717";"17 834";"4 190";"100";"";"861";"533";"1 494";"666 235"
"LU";"";"";"";"";"";"";"";"35";"";"";"35";"35"
"ME";"";"";"";"196";"";"";"";"";"";"";"";"196"
"MK";"MCF (MK)";"";"";"556";"";"";"";"";"";"";"";"556"
"NL";"Warner Bros.-20 Cent.Fox-catalogue";"27/03/2014";"";"37 768";"";"76";"";"108";"";"";"108";"37 952"
"NO";"20th Century Fox (NO)";"17/01/2014";"25";"63 979";"46";"";"";"";"550";"";"550";"64 600"
"PL";"Imperial Cinepix";"31/01/2014";"";"22 076";"";"";"";"";"";"";"";"22 076"
"PT";"Big Picture 2 Films";"23/01/2014";"";"43 920";"";"";"";"";"";"";"";"43 920"
"RO";"Odeon Cineplex";"28/02/2014";"";"17 375";"";"";"";"";"";"";"";"17 375"
"RU";"20th Century Fox (RU)";"16/01/2014";"";"187 393";"";"";"";"";"";"";"";"187 393"
"SE";"20th Century Fox (SE)";"28/02/2014";"";"58 512";"75";"";"";"";"";"";"";"58 587"
"SK";"Barracuda Movie/CinemArt (SK)";"16/01/2014";"";"5 840";"";"70";"70";"";"";"";"70";"5 980"
"EUR EU";"";"";"";"2 859 167";"30 083";"8 710";"3 359";"1 045";"974";"653";"6 031";"2 903 991"
"EUR OBS";"";"";"25";"3 130 852";"30 129";"8 710";"3 359";"1 115";"1 524";"653";"6 651";"3 176 367"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43657"
