"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2009";"2015";"2009-2015";"Total since 2003"
"AT";"Constantin Film (AT)";"30/01/2004";"";"70 311";"";"";"";"";"";"70 311"
"BE";"";"";"57 316";"";"";"";"";"";"";"57 316"
"BG";"New Films";"16/07/2004";"";"26 267";"452";"";"";"";"";"26 719"
"CH";"";"";"7 912";"31 126";"";"";"";"";"";"39 038"
"CZ";"Hollywood";"27/11/2003";"44 040";"11 558";"";"";"";"";"";"55 598"
"DE";"Concorde Filmverleih";"29/01/2004";"";"439 889";"";"3 981";"";"";"";"443 870"
"DK";"Nordisk, Constantin, Fox";"";"20 491";"1 979";"";"";"";"";"";"22 470"
"ES";"Filmax (SOGEDASA)";"16/10/2003";"1 017 941";"3 664";"1 454";"12 732";"1 035";"";"1 035";"1 036 826"
"FI";"Nordisk Film Theatrical Dist.";"21/11/2003";"19 706";"2 232";"";"";"";"";"";"21 938"
"FR";"";"";"615 074";"2 253";"";"";"";"";"";"617 327"
"GB";"Entertainment (GB)";"19/09/2003";"915 908";"";"";"";"";"16";"16";"915 924"
"HU";"SPI Hungary";"22/04/2004";"";"52 468";"13";"";"";"";"";"52 481"
"IS";"";"";"9 623";"";"";"";"";"";"";"9 623"
"IT";"";"";"";"293 362";"";"";"";"";"";"293 362"
"LT";"";"";"6 805";"";"";"";"";"";"";"6 805"
"NL";"";"";"";"47 566";"";"";"";"";"";"47 566"
"NO";"Nordisk Filmdistribusjon";"05/12/2003";"15 457";"";"";"107";"";"";"";"15 564"
"PL";"Best Film";"28/11/2003";"103 123";"8 222";"";"";"";"";"";"111 345"
"PT";"LNK Filmes";"15/01/2004";"";"76 663";"";"";"";"";"";"76 663"
"RO";"New Films Intl.";"04/06/2004";"";"14 995";"169";"";"1 250";"";"1 250";"16 414"
"SE";"";"";"";"11 975";"";"";"";"";"";"11 975"
"SK";"Continental Film (SK)";"04/03/2004";"";"5 838";"";"";"";"";"";"5 838"
"TR";"Ozen Film";"30/01/2004";"";"131 777";"";"";"";"";"";"131 777"
"EUR EU";"";"";"2 800 404";"1 069 242";"2 088";"16 713";"2 285";"16";"2 301";"3 890 748"
"EUR OBS";"";"";"2 833 396";"1 232 145";"2 088";"16 820";"2 285";"16";"2 301";"4 086 750"
"US_CA";"";"";"8 537 968";"";"";"";"";"";"";"8 537 968"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2009, 2006, 2005, 2004, 2003"
" - film_id : 20357"
