"Market";"Distributor";"Release date";"2015";"2016";"2017";"Total since 2015"
"AT";"20th Century Fox (AT)";"28/08/2015";"53 373";"";"";"53 373"
"BA";"Blitz Film & Video Distribution (BA)";"";"7 836";"";"";"7 836"
"BG";"Aleksandra";"28/08/2015";"21 318";"";"";"21 318"
"CH";"20th Century Fox (CH)";"26/08/2015";"49 366";"";"";"49 366"
"CZ";"CinemArt (CZ)";"27/08/2015";"19 833";"42";"";"19 875"
"DE";"20th Century Fox (DE)";"27/08/2015";"267 064";"160";"";"267 224"
"DK";"FC/Fox (DK)";"27/08/2015";"28 984";"";"";"28 984"
"EE";"ETD";"21/08/2015";"12 340";"";"";"12 340"
"ES";"Hispano Foxfilms";"11/09/2015";"139 483";"101";"";"139 584"
"FI";"FS Film (FI)";"21/08/2015";"12 981";"";"";"12 981"
"FR";"20th Century Fox (FR)";"26/08/2015";"665 228";"";"";"665 228"
"GB";"20th Century Fox (GB)";"28/08/2015";"301 681";"";"";"301 681"
"GR";"Odeon (GR)";"";"38 236";"";"";"38 236"
"HR";"Fox (HR)";"27/08/2015";"16 992";"";"";"16 992"
"HU";"Intercom";"27/08/2015";"42 370";"";"";"42 370"
"IS";"Sena";"24/08/2015";"6 117";"";"";"6 117"
"IT";"20th Century Fox (IT)";"29/10/2015";"53 748";"9";"";"53 757"
"LT";"Theatrical Film Distribution / 20th Century Fox (LT)";"21/08/2015";"13 480";"";"";"13 480"
"LV";"LTD Latvian Theatrical Distribution";"28/08/2015";"8 649";"";"";"8 649"
"ME";"";"";"1 382";"1 382";"";"2 764"
"NL";"20th Century Fox via Warner Bros (NL)";"03/09/2015";"84 819";"";"";"84 819"
"NO";"20th Century Fox (NO)";"21/08/2015";"44 787";"";"";"44 787"
"PL";"Imperial Cinepix";"28/08/2015";"69 824";"";"";"69 824"
"PT";"Big Picture 2 Films";"27/08/2015";"98 728";"";"";"98 728"
"RO";"Odeon Cineplex";"28/08/2015";"76 185";"";"";"76 185"
"RU";"20 Century Fox - CIS (RU)";"03/09/2015";"995 371";"";"";"995 371"
"SE";"20th Century Fox (SE)";"28/08/2015";"37 844";"";"";"37 844"
"SI";"Blitz Film & Video Distribution (SI)";"03/09/2015";"5 678";"";"";"5 678"
"SK";"Barracuda Movie/CinemArt (SK)";"27/08/2015";"13 033";"33";"40";"13 106"
"TR";"Tme";"21/08/2015";"198 677";"";"";"198 677"
"EUR EU";"";"";"2 081 871";"345";"40";"2 082 256"
"EUR OBS";"";"";"3 385 407";"1 727";"40";"3 387 174"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015"
" - film_id : 63954"
