"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2016-2018";"Total since 2012"
"AT";"Warner Bros. (AT)";"16/11/2012";"74 869";"1 900";"";"";"";"";"";"";"76 769"
"BG";"Aleksandra";"09/11/2012";"37 808";"1 164";"";"";"";"";"";"";"38 972"
"CH";"Elite Film";"29/11/2012";"62 744";"39 614";"";"";"";"";"";"";"102 358"
"CZ";"A-Company Czech";"22/11/2012";"128 187";"28 020";"1 498";"676";"110";"339";"172";"621";"159 002"
"DE";"X-Verleih";"15/11/2012";"1 054 642";"92 472";"";"";"";"";"";"";"1 147 114"
"DK";"UIP (DK)";"14/03/2013";"";"27 834";"";"";"";"";"";"";"27 834"
"EE";"Acme (EE)";"30/11/2012";"14 026";"1 352";"";"";"";"";"";"";"15 378"
"ES";"Warner Bros. Entertainment Espana";"22/02/2013";"";"124 892";"";"";"";"";"";"";"124 892"
"FI";"Future Film (FI)";"01/03/2013";"";"31 538";"";"";"";"";"";"";"31 538"
"FR";"Warner Bros. (FR)";"13/03/2013";"";"444 347";"";"";"";"";"";"";"444 347"
"GB";"Warner Bros. (GB)";"22/02/2013";"";"256 746";"95";"";"";"";"";"";"256 841"
"GR";"Odeon (GR)";"";"69 103";"3 283";"";"";"";"";"";"";"72 386"
"HR";"Discovery (HR)";"29/11/2012";"20 480";"2 077";"";"";"";"";"";"";"22 557"
"HU";"A Company";"22/11/2012";"102 230";"";"68";"35";"15";"";"";"15";"102 348"
"IT";"Eagle Pictures";"10/01/2013";"";"579 651";"";"130";"";"";"";"";"579 781"
"LT";"Acme (LT)";"23/11/2012";"";"2 534";"";"";"";"";"";"";"2 534"
"LV";"Acme (LV)";"23/11/2012";"15 461";"";"";"";"";"";"";"";"15 461"
"NL";"A-Film (NL)";"29/11/2012";"108 032";"24 211";"39";"";"";"";"";"";"132 282"
"NO";"Norsk Filmdistribusjon";"08/03/2013";"";"11 610";"";"";"";"";"";"";"11 610"
"PL";"Kino Swiat";"23/11/2012";"510 494";"27 005";"";"";"";"";"";"";"537 499"
"PT";"ZON Lusomundo Audiovisuais";"29/11/2012";"92 349";"11 980";"";"";"";"";"";"";"104 329"
"RO";"Ro-Image 2000";"23/11/2012";"101 185";"8 032";"";"";"";"";"";"";"109 217"
"RU";"20th Century Fox (RU)";"08/11/2012";"2 192 386";"9 472";"";"";"";"";"";"";"2 201 858"
"SE";"Noble Entertainment";"22/02/2013";"";"33 399";"";"";"";"";"";"";"33 399"
"SI";"Cinemania Group";"22/11/2012";"14 623";"1 777";"";"";"";"";"";"";"16 400"
"SK";"Magic Box Slovakia";"22/11/2012";"41 812";"7 242";"";"";"";"";"";"";"49 054"
"TR";"Chantier Films";"26/10/2012";"265 000";"1 853";"190";"";"119";"119";"";"238";"267 281"
"EUR EU";"";"";"2 385 301";"1 711 456";"1 700";"841";"125";"339";"172";"636";"4 099 934"
"EUR OBS";"";"";"4 905 431";"1 774 005";"1 890";"841";"244";"458";"172";"874";"6 683 041"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 40855"
