"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Constantin (AT)";"23/09/2016";"25 339";"";"";"";"";"25 339"
"BA";"Una Film";"";"3 940";"";"";"";"";"3 940"
"BE";"Belga Films (BE)";"02/11/2016";"43 214";"1 026";"";"";"";"44 240"
"BG";"Pro Films (BG)";"16/09/2016";"27 919";"";"";"";"";"27 919"
"CH";"Pathé Films (CH)";"06/10/2016";"65 683";"271";"164";"";"";"66 118"
"CY";"DJK Group (CY)";"";"923";"";"";"";"";"923"
"CZ";"Film Europe (CZ)";"10/11/2016";"8 187";"1 592";"";"63";"48";"9 890"
"DE";"LEONINE Distribution GmbH";"22/09/2016";"425 247";"24 612";"1 645";"431";"39";"451 974"
"DK";"Scanbox Entertainment (DK)";"29/09/2016";"59 969";"";"";"";"";"59 969"
"EE";"Acme (EE)";"16/09/2016";"10 043";"";"";"";"";"10 043"
"ES";"Vertigo Films (ES)";"13/10/2016";"100 173";"1 253";"";"";"";"101 426"
"FI";"Finnkino";"23/09/2016";"17 301";"149";"";"";"";"17 450"
"FR";"Pathé Distribution (FR)";"01/11/2016";"479 469";"";"";"";"333";"479 802"
"GB";"Vertigo (GB)";"09/12/2016";"48 116";"5 398";"";"";"";"53 514"
"GE";"Central Partnership (GE)";"";"1 091";"";"";"";"";"1 091"
"GR";"Tanweer (GR)";"03/11/2016";"46 389";"";"";"";"";"46 389"
"HR";"Editus (HR)";"22/09/2016";"15 190";"";"";"";"";"15 190"
"HU";"Cinetel";"16/09/2016";"38 216";"83";"";"";"";"38 299"
"IT";"Bim Distribuzione";"24/11/2016";"268 470";"48 517";"525";"73";"";"317 585"
"LT";"Acme (LT)";"23/09/2016";"4 919";"";"";"";"";"4 919"
"LU";"Belga Film (LU)";"02/11/2016";"2 856";"166";"";"";"";"3 022"
"LV";"Acme (LV)";"16/09/2016";"7 153";"";"";"";"";"7 153"
"NL";"Independent Films (NL)";"10/11/2016";"50 959";"648";"350";"";"";"51 957"
"NO";"Norsk Filminstitutt";"30/09/2016";"18 650";"56";"";"";"";"18 706"
"PL";"M2 Films";"18/11/2016";"30 793";"2 082";"";"";"";"32 875"
"PT";"NOS Lusomundo Audiovisuais (PT)";"22/09/2016";"61 333";"";"";"";"";"61 333"
"RO";"IF-Independenta Film";"18/11/2016";"17 554";"571";"";"";"";"18 125"
"RU";"Central Partnership (RU)";"15/09/2016";"281 687";"";"";"";"";"281 687"
"SE";"Scanbox Entertainment (SE)";"16/09/2016";"53 116";"";"";"";"";"53 116"
"SI";"Karantanija Cinemas";"22/09/2016";"8 624";"381";"243";"";"";"9 248"
"SK";"Film Europe (SK)";"10/11/2016";"14 428";"714";"";"8";"";"15 150"
"TR";"Bir Film";"06/01/2017";"";"55 253";"808";"";"";"56 061"
"EUR EU";"";"";"1 865 900";"87 192";"2 763";"575";"420";"1 956 850"
"EUR OBS";"";"";"2 236 951";"142 772";"3 735";"575";"420";"2 384 453"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 68088"
