"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"Total since 2003"
"BE";"";"";"162 342";"";"";"";"";"162 342"
"BG";"Sunny";"10/10/2003";"19 804";"20 528";"44";"";"";"40 376"
"CH";"";"";"95 380";"";"";"";"";"95 380"
"CY";"";"";"15 569";"";"";"";"";"15 569"
"CZ";"Bontonfilm";"21/08/2003";"74 450";"556";"379";"";"";"75 385"
"DE";"Concorde Filmverleih";"14/08/2003";"986 068";"";"";"";"";"986 068"
"DK";"";"";"87 987";"";"";"";"";"87 987"
"EE";"MPDE";"26/09/2003";"14 488";"";"";"";"";"14 488"
"ES";"";"";"1 077 772";"688";"";"";"";"1 078 460"
"FI";"";"";"45 557";"";"";"";"";"45 557"
"FR";"Paramount Pictures (FR)";"20/08/2003";"1 209 635";"338";"";"278";"";"1 210 251"
"GB";"";"";"1 100 161";"";"";"";"";"1 100 161"
"HU";"";"";"103 331";"";"";"";"";"103 331"
"IS";"";"";"8 787";"";"";"";"";"8 787"
"IT";"";"";"330 073";"";"";"";"";"330 073"
"LT";"";"";"17 863";"";"";"";"";"17 863"
"NL";"";"";"192 890";"";"";"";"";"192 890"
"NO";"";"";"79 868";"";"";"";"";"79 868"
"PL";"";"";"79 060";"";"";"";"";"79 060"
"RO";"";"";"44 391";"4 364";"";"";"";"48 755"
"SE";"";"";"114 355";"";"";"";"";"114 355"
"SK";"Tatra Film";"21/08/2003";"21 198";"";"";"";"";"21 198"
"TR";"Umut Sanat";"29/08/2003";"194 811";"";"";"";"118";"194 929"
"EUR EU";"";"";"5 696 994";"26 474";"423";"278";"";"5 724 169"
"EUR OBS";"";"";"6 075 840";"26 474";"423";"278";"118";"6 103 133"
"US_CA";"";"";"10 888 921";"";"";"";"";"10 888 921"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2006, 2005, 2004, 2003"
" - film_id : 20214"
