"Market";"Distributor";"Release date";"2003";"2004";"2005";"2007";"Total since 2003"
"BE";"";"";"109 900";"";"";"";"109 900"
"BG";"Aleksandra";"18/07/2003";"20 159";"";"";"";"20 159"
"CH";"";"";"95 358";"";"";"";"95 358"
"CZ";"Bontonfilm";"12/06/2003";"19 218";"65";"40";"";"19 323"
"DE";"20th Century Fox (DE)";"03/04/2003";"748 016";"";"";"";"748 016"
"DK";"SF Film (DK)";"";"29 172";"97";"";"";"29 269"
"EE";"MPDE";"09/05/2003";"6 874";"";"";"";"6 874"
"ES";"Hispano Foxfilms";"21/03/2003";"939 096";"1 745";"";"119";"940 960"
"FI";"";"";"16 425";"";"";"";"16 425"
"FR";"";"";"62 826";"131";"";"";"62 957"
"GB";"";"";"773 423";"";"";"";"773 423"
"HU";"";"";"18 711";"";"";"";"18 711"
"IS";"";"";"10 795";"";"";"";"10 795"
"IT";"";"";"10 852";"";"";"";"10 852"
"NL";"";"";"85 033";"";"";"";"85 033"
"NO";"";"";"23 123";"";"";"";"23 123"
"PL";"";"";"50 347";"";"";"";"50 347"
"RO";"";"";"6 858";"";"";"";"6 858"
"SE";"";"";"66 687";"";"";"";"66 687"
"SK";"Tatra Film";"12/06/2003";"5 803";"";"";"";"5 803"
"TR";"";"";"98 816";"";"";"";"98 816"
"EUR EU";"";"";"2 969 400";"2 038";"40";"119";"2 971 597"
"EUR OBS";"";"";"3 197 492";"2 038";"40";"119";"3 199 689"
"US_CA";"";"";"9 307 987";"";"";"";"9 307 987"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2005, 2004, 2003"
" - film_id : 20359"
