"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2012";"2013";"2014";"2015";"2016";"2018";"2019";"2020";"2010-2020";"Total since 2005"
"AT";"";"16/03/2006";"62 723";"";"";"";"";"";"";"";"";"";"";"";"";"";"62 723"
"BE";"Warner Bros. (BE)";"29/03/2006";"126 306";"";"";"";"";"";"";"";"";"";"";"";"";"";"126 306"
"CH";"Warner Bros. (CH)";"16/03/2006";"61 190";"";"";"";"118";"";"";"";"80";"";"";"";"";"198";"61 388"
"CZ";"Warner Bros. (CZ)";"20/04/2006";"24 499";"";"";"";"";"";"";"";"";"";"";"";"";"";"24 499"
"DE";"Warner Bros. (DE)";"16/03/2006";"351 331";"";"";"";"";"";"";"";"";"";"";"";"";"";"351 331"
"DK";"Sandrew Metronome (DK)";"24/03/2006";"64 238";"";"";"";"";"";"";"";"";"";"";"";"";"";"64 238"
"EE";"Forum Cinemas (EE)";"28/04/2006";"4 233";"";"";"130";"";"";"";"";"";"";"";"";"";"";"4 363"
"ES";"Warner Bros. Entertainment Espana";"04/04/2006";"828 915";"";"";"";"";"";"";"";"";"";"";"";"";"";"828 915"
"FI";"Sandrew Metronome Distribution";"24/03/2006";"57 498";"";"";"";"";"";"";"";"";"";"";"";"";"";"57 498"
"FR";"Warner Bros. (FR)";"19/04/2006";"625 478";"";"";"";"";"";"";"";"";"";"";"";"217";"217";"625 695"
"GB";"Version Digital (GB)";"17/03/2006";"735 924";"";"";"";"";"";"";"14";"18";"74";"";"";"2 289";"2 395";"738 319"
"HU";"Intercom";"20/04/2006";"18 532";"";"";"";"";"";"";"";"";"";"";"";"";"";"18 532"
"IS";"";"";"14 738";"";"";"";"";"";"";"";"";"";"";"";"";"";"14 738"
"IT";"Warner Bros. (IT)";"17/03/2006";"384 798";"287";"554";"";"";"30";"";"";"";"";"183";"141";"139";"493";"386 132"
"LV";"Forum Cinemas (LV)";"26/04/2006";"3 620";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 620"
"NL";"Warner Bros. (NL)";"30/03/2006";"108 954";"";"";"23";"";"";"216";"";"";"";"";"";"";"216";"109 193"
"NO";"Sandrew Metronome (NO)";"24/03/2006";"62 640";"50";"";"";"";"";"";"";"";"";"";"";"";"";"62 690"
"PL";"Warner (PL)";"07/04/2006";"57 667";"";"";"";"";"";"";"";"";"";"";"";"";"";"57 667"
"PT";"Columbia TriStar Warner (PT)";"23/03/2006";"104 898";"";"10";"";"";"";"";"";"";"";"";"";"";"";"104 908"
"RO";"Intercomfilm";"21/04/2006";"12 190";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 190"
"SE";"";"";"141 639";"";"";"";"";"";"";"";"";"";"";"";"";"";"141 639"
"SI";"Ljubljanski Kinematografi";"20/04/2006";"6 076";"15";"";"";"";"";"";"";"";"";"";"";"";"";"6 091"
"SK";"Continental Film (SK)";"20/04/2006";"7 296";"75";"";"";"";"";"";"";"";"";"";"";"";"";"7 371"
"TR";"Warner Bros. (TR)";"31/03/2006";"123 495";"";"";"";"";"";"";"";"";"";"";"";"";"";"123 495"
"EUR EU";"";"";"3 726 815";"377";"564";"153";"";"30";"216";"14";"18";"74";"183";"141";"2 645";"3 321";"3 731 230"
"EUR OBS";"";"";"3 988 878";"427";"564";"153";"118";"30";"216";"14";"98";"74";"183";"141";"2 645";"3 519";"3 993 541"
"US_CA";"Warner Bros. (US)";"17/03/2006";"10 765 043";"";"";"";"";"";"";"";"";"";"";"";"";"";"10 765 043"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2016, 2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25629"
