"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"Total since 2013"
"AT";"Constantin/Studiocanal";"18/04/2013";"59 379";"";"";"";"59 379"
"BE";"Entertainment One Belgium";"10/04/2013";"36 822";"";"";"";"36 822"
"BG";"Aleksandra";"08/03/2013";"9 984";"130";"";"";"10 114"
"CH";"Impuls Pictures";"10/04/2013";"58 462";"";"7";"";"58 469"
"CZ";"A-Company Czech";"11/04/2013";"19 384";"64";"";"";"19 448"
"DE";"StudioCanal (DE)";"18/04/2013";"559 546";"95";"";"";"559 641"
"DK";"SF Film (DK)";"11/04/2013";"16 603";"";"";"";"16 603"
"EE";"Acme (EE)";"15/02/2013";"8 153";"";"";"";"8 153"
"ES";"Tripictures";"12/09/2014";"";"102 511";"";"";"102 511"
"FI";"SF Film Finland [FS Film]";"12/04/2013";"48 656";"";"";"";"48 656"
"FR";"StudioCanal (FR)";"10/04/2013";"339 624";"";"";"";"339 624"
"GB";"StudioCanal (GB)";"08/02/2013";"951 670";"";"";"";"951 670"
"GR";"Village";"26/09/2013";"2 191";"";"";"";"2 191"
"HR";"Discovery (HR)";"18/04/2013";"6 227";"";"";"";"6 227"
"HU";"A Company";"28/02/2013";"46 572";"134";"";"";"46 706"
"IS";"Myndform";"29/03/2013";"4 428";"";"";"";"4 428"
"LT";"Acme (LT)";"22/03/2013";"13 202";"";"";"";"13 202"
"LV";"Acme (LV)";"15/02/2013";"6 763";"";"";"";"6 763"
"NL";"Entertainment One Benelux";"21/02/2013";"82 731";"84";"";"";"82 815"
"NO";"SF Norway";"22/03/2013";"12 776";"";"";"";"12 776"
"PL";"Vue Movie";"01/03/2013";"179 557";"415";"";"";"179 972"
"PT";"ZON Lusomundo Cinemas";"04/04/2013";"38 158";"";"";"";"38 158"
"RO";"Intercomfilm";"01/03/2013";"35 614";"";"";"41";"35 655"
"RU";"Cascade Film (RU)";"14/03/2013";"159 319";"";"";"";"159 319"
"SE";"SF Film (SE)";"26/04/2013";"18 639";"";"";"";"18 639"
"SI";"Cinemania Group";"14/03/2013";"10 327";"41";"2";"";"10 370"
"SK";"Magic Box Slovakia";"11/04/2013";"6 007";"";"";"";"6 007"
"TR";"M3 Film";"23/08/2013";"24 016";"783";"";"";"24 799"
"EUR EU";"";"";"2 495 809";"103 474";"2";"41";"2 599 326"
"EUR OBS";"";"";"2 754 810";"104 257";"9";"41";"2 859 117"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013"
" - film_id : 43137"
