"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2012";"2015";"2016";"2017";"2008-2017";"Total since 2004"
"AT";"Constantin Film (AT)";"23/12/2004";"32 708";"75 834";"";"";"";"";"";"";"";"";"";"";"108 542"
"BE";"Belga Films (BE)";"11/08/2004";"85 973";"438";"";"";"";"";"";"";"";"";"";"";"86 411"
"BG";"Aleksandra";"25/03/2005";"";"16 791";"";"";"";"";"";"";"";"";"";"";"16 791"
"CH";"Elite Film";"11/08/2004";"31 694";"59 563";"";"45";"73";"119";"";"108";"";"";"";"300";"91 602"
"CY";"Odeon (CY)";"19/11/2004";"";"812";"";"";"";"";"";"";"";"";"";"";"812"
"CZ";"SPI";"27/01/2005";"";"112 566";"4 517";"393";"7";"35";"";"";"";"";"";"42";"117 518"
"DE";"Universum Film";"23/12/2004";"251 721";"1 038 931";"";"";"1 986";"";"";"";"";"";"";"1 986";"1 292 638"
"DK";"Nordisk, Constantin, Fox";"10/09/2004";"11 460";"89";"158";"";"";"";"";"";"";"";"";"";"11 707"
"EE";"MPDE";"17/09/2004";"6 409";"";"";"";"";"";"";"";"";"";"";"";"6 409"
"ES";"Filmax (SOGEDASA)";"22/07/2004";"703 617";"4 546";"84";"45";"";"";"";"";"156";"189";"";"345";"708 637"
"FI";"Nordisk Film Theatrical Dist.";"27/06/2004";"49 711";"917";"";"194";"80";"";"";"";"";"";"";"80";"50 902"
"FR";"";"";"623 390";"";"";"";"";"";"";"";"";"";"";"";"623 390"
"GB";"Entertainment (GB)";"09/07/2004";"924 698";"";"";"";"";"";"";"";"";"";"13";"13";"924 711"
"GR";"Odeon (GR)";"19/11/2004";"53 775";"13 286";"350";"199";"";"";"";"";"";"";"";"";"67 610"
"HU";"SPI Hungary";"23/12/2004";"33 482";"68 724";"";"";"";"";"";"";"";"";"";"";"102 206"
"IS";"";"";"6 363";"";"";"36";"";"";"";"";"";"";"";"";"6 399"
"IT";"Eagle Pictures";"19/12/2004";"445";"283 258";"";"94";"9";"";"";"";"";"";"";"9";"283 806"
"LU";"";"";"2 843";"";"";"";"";"";"";"";"";"";"";"";"2 843"
"LV";"Acme (LV)";"17/09/2004";"15 008";"77";"";"";"";"";"";"";"";"";"";"";"15 085"
"NL";"";"";"29 795";"";"";"";"";"";"";"";"";"";"";"";"29 795"
"NO";"Columbia TriStar Nordisk";"08/10/2004";"9 088";"412";"";"";"";"";"";"";"";"";"";"";"9 500"
"PL";"Monolith";"01/10/2004";"291 845";"18 463";"";"1 089";"";"";"";"";"";"";"";"";"311 397"
"PT";"";"";"93 810";"";"";"";"";"";"";"";"";"";"";"";"93 810"
"RO";"Prooptiki (RO)";"04/02/2005";"";"8 995";"";"";"";"";"";"";"";"";"";"";"8 995"
"SE";"Sony Pictures Releasing (SE)";"03/12/2004";"7 184";"2 370";"";"";"";"";"";"";"";"";"";"";"9 554"
"SI";"Blitz Film & Video Distribution (SI)";"02/10/2006";"";"";"434";"114";"";"";"";"";"";"";"";"";"548"
"SK";"Film Europe (SK)";"07/04/2005";"";"";"8 618";"1 130";"2 694";"307";"54";"";"";"";"";"3 055";"12 803"
"EUR EU";"";"";"3 217 874";"1 646 097";"14 161";"3 258";"4 776";"342";"54";"";"156";"189";"13";"5 530";"4 886 920"
"EUR OBS";"";"";"3 265 019";"1 706 072";"14 161";"3 339";"4 849";"461";"54";"108";"156";"189";"13";"5 830";"4 994 421"
"US_CA";"";"";"3 866 022";"";"";"";"";"";"";"";"";"";"";"";"3 866 022"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22176"
