"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2015-2018";"Total since 2011"
"AT";"UIP (AT)";"11/11/2011";"59 831";"4 950";"";"";"";"";"";"";"64 781"
"BE";"Cineart (BE)";"04/01/2012";"602";"73 505";"477";"";"";"";"";"";"74 584"
"CH";"UIP (CH)";"07/10/2011";"46 378";"28 163";"";"";"";"31";"37";"68";"74 609"
"CZ";"Bontonfilm";"26/01/2012";"";"23 664";"596";"14";"";"58";"";"58";"24 332"
"DE";"Universal Pictures (DE)";"10/11/2011";"207 637";"64 914";"";"452";"118";"";"";"118";"273 121"
"DK";"Scanbox Entertainment (DK)";"21/06/2012";"";"93 344";"";"";"";"";"";"";"93 344"
"EE";"Acme (EE)";"23/03/2012";"";"5 390";"";"";"";"";"";"";"5 390"
"ES";"Universal Pictures Int'l Spain";"25/11/2011";"359 621";"28 723";"";"";"";"";"";"";"388 344"
"FI";"Scanbox Finland";"13/04/2012";"";"18 334";"26";"";"";"";"";"";"18 360"
"FR";"Mars Films (FR)";"21/12/2011";"286 515";"276 948";"";"";"";"";"";"";"563 463"
"GB";"Lionsgate (GB)";"10/02/2012";"";"208 685";"";"148";"142";"";"";"142";"208 975"
"GR";"Word of Mouth (GR)";"24/11/2011";"45 733";"9 473";"";"";"";"";"";"";"55 206"
"HR";"Discovery (HR)";"01/03/2012";"";"4 116";"";"";"";"";"";"";"4 116"
"HU";"Budapestfilm";"15/03/2012";"";"8 739";"133";"";"";"";"";"";"8 872"
"IS";"Myndform";"03/01/2012";"";"929";"";"";"";"";"";"";"929"
"IT";"Bim Distribuzione";"30/09/2011";"450 095";"27 904";"";"";"";"";"15";"15";"478 014"
"LT";"Acme (LT)";"06/04/2012";"";"4 161";"";"";"";"";"";"";"4 161"
"LU";"Cineart (LU)";"30/12/2011";"1 040";"3 911";"";"";"";"";"";"";"4 951"
"LV";"Acme (LV)";"23/03/2012";"";"6 497";"";"";"";"";"";"";"6 497"
"NL";"Cinéart Nederland";"15/03/2012";"";"44 652";"283";"63";"";"";"";"";"44 998"
"NO";"Scanbox Entertainment (NO)";"02/12/2011";"19 013";"7 237";"26";"";"";"";"";"";"26 276"
"PL";"Monolith";"04/11/2011";"76 654";"4 257";"88";"";"99";"";"";"99";"81 098"
"PT";"ZON Lusomundo Audiovisuais";"24/11/2011";"50 185";"3 039";"68";"";"";"";"";"";"53 292"
"RO";"Odeon Cineplex";"25/11/2011";"";"2 186";"";"";"";"";"";"";"2 186"
"RU";"Kino bez Granits";"26/01/2012";"";"120 711";"";"";"";"";"";"";"120 711"
"SE";"Scanbox Entertainment (SE)";"18/11/2011";"10 992";"2 434";"";"";"";"";"";"";"13 426"
"SI";"Cinemania Group";"09/11/2011";"1 580";"6 495";"39";"24";"";"";"";"";"8 138"
"SK";"TatraFilm/Bontonfilm";"26/01/2012";"";"4 150";"";"";"";"";"";"";"4 150"
"TR";"Tiglon";"25/11/2011";"30 655";"3 874";"";"";"";"";"";"";"34 529"
"EUR EU";"";"";"1 550 485";"930 471";"1 710";"701";"359";"58";"15";"432";"2 483 799"
"EUR OBS";"";"";"1 646 531";"1 091 385";"1 736";"701";"359";"89";"52";"500";"2 740 853"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37306"
